script_file,section,command,args
0000,script,PlayFanfare,SEQ_SE_CONFIRM
0000,script,LockAll,
0000,script,FacePlayer,
0000,script,Message,0
0000,script,WaitButton,
0000,script,CloseMessage,
0000,script,ReleaseAll,
0000,script,End,
0000,script,MecScript,
0000,script,LockAll,
0000,script,Message,9
0000,script,OpenTouchScreen,
0000,script,YesNoTouchScreen,0x800C
0000,script,CloseTouchScreen,
0000,script,CompareVarValue,0x800C 0
0000,script,JumpIf,EQUAL Function#1
0000,script,CompareVarValue,0x800C 1
0000,script,JumpIf,EQUAL Function#2
0000,script,End,
0000,script,MecScript,
0000,script,LockAll,
0000,script,CMD_151,
0000,script,Message,12
0000,script,CMD_257,94
0000,script,CloseMessage,
0000,script,CMD_587,
0000,script,ExitBattleRoom,
0000,script,ReleaseAll,
0000,script,End,
0000,function,CMD_151,
0000,function,Message,12
0000,function,CMD_257,94
0000,function,CloseMessage,
0000,function,CMD_587,
0000,function,ExitBattleRoom,
0000,function,ReleaseAll,
0000,function,End,
0000,function,CloseMessage,
0000,function,ReleaseAll,
0000,function,End,
0001,script,PlayFanfare,SEQ_SE_CONFIRM
0001,script,LockAll,
0001,script,Message,0
0001,script,WaitButton,
0001,script,CloseMessage,
0001,script,ReleaseAll,
0001,script,End,
0001,script,PlayFanfare,SEQ_SE_CONFIRM
0001,script,LockAll,
0001,script,Message,1
0001,script,WaitButton,
0001,script,CloseMessage,
0001,script,ReleaseAll,
0001,script,End,
0001,script,PlayFanfare,SEQ_SE_CONFIRM
0001,script,LockAll,
0001,script,Message,2
0001,script,WaitButton,
0001,script,CloseMessage,
0001,script,ReleaseAll,
0001,script,End,
0001,script,PlayFanfare,SEQ_SE_CONFIRM
0001,script,LockAll,
0001,script,Message,3
0001,script,WaitButton,
0001,script,CloseMessage,
0001,script,ReleaseAll,
0001,script,End,
0001,script,PlayFanfare,SEQ_SE_CONFIRM
0001,script,LockAll,
0001,script,Message,4
0001,script,WaitButton,
0001,script,CloseMessage,
0001,script,ReleaseAll,
0001,script,End,
0001,script,PlayFanfare,SEQ_SE_CONFIRM
0001,script,LockAll,
0001,script,Message,5
0001,script,WaitButton,
0001,script,CloseMessage,
0001,script,ReleaseAll,
0001,script,End,
0001,script,PlayFanfare,SEQ_SE_CONFIRM
0001,script,LockAll,
0001,script,Message,6
0001,script,WaitButton,
0001,script,CloseMessage,
0001,script,ReleaseAll,
0001,script,End,
0001,script,PlayFanfare,SEQ_SE_CONFIRM
0001,script,LockAll,
0001,script,Message,7
0001,script,WaitButton,
0001,script,CloseMessage,
0001,script,ReleaseAll,
0001,script,End,
0001,script,PlayFanfare,SEQ_SE_CONFIRM
0001,script,LockAll,
0001,script,FadeScreen,6 1 0 0
0001,script,WaitFadeScreen,
0001,script,WorldMapScreen,
0001,script,ReturnScreen,
0001,script,FadeScreen,6 1 1 0
0001,script,WaitFadeScreen,
0001,script,ReleaseAll,
0001,script,End,
0002,script,SetVar,0x8000 0
0002,script,SetVar,0x400F 0
0002,script,SetVar,0x8007 0
0002,script,Jump,Function#1
0002,script,SetVar,0x8000 1
0002,script,SetVar,0x400F 12
0002,script,SetVar,0x8007 1
0002,script,Jump,Function#1
0002,script,SetVar,0x8000 2
0002,script,SetVar,0x400F 24
0002,script,SetVar,0x8007 2
0002,script,Jump,Function#1
0002,function,OverlayManager,3 0
0002,function,ShowSpecialCurrency,1 21 1
