script_file,maps_using_script,script_count,function_count,action_count,message_refs,item_refs,pokemon_refs,flag_refs,var_refs,top_commands,total_commands
0000,-; -; -; -; -; -; -,3,2,0,0; 9; 12,,,,,End(5); Message(4); CloseMessage(4); ReleaseAll(4); LockAll(3); MecScript(2); CompareVarValue(2); JumpIf(2); CMD_151(2); CMD_257(2),40
0001,,9,0,0,0; 1; 2; 3; 4; 5; 6; 7,,,,,PlayFanfare(9); LockAll(9); ReleaseAll(9); End(9); Message(8); WaitButton(8); CloseMessage(8); FadeScreen(2); WaitFadeScreen(2); WorldMapScreen(1),66
0002,,3,26,0,5; 6; 12; 15; 17; 18; 24; 27; 29; 30; 36; 39; 40,,,,0x400F; 0x8000; 0x8004; 0x8007,JumpIf(34); CompareVarValue(32); SetVar(26); Jump(26); Message(17); CMD_490(16); IncrementVar(15); MessageFlex(13); FadeScreen(8); WaitFadeScreen(8),302
0003,,73,162,7,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 13; 14; 15; 16; 18; 20; 21; 25; 27; 28; 30; 31; 32; 33; 34; 35; 36; 38; 40; 41; 42; 44; 45; 46; 47; 53; 54; 57; 58; 59; 60; 62; 65; 68; 79; 89; 90; 93; 94; 99; 100; 102; 103; 108; 109; 110; 111; 118; 119,ITEM_BICYCLE; 0x8004; 0x8004,,100; 101; 2404; 2422; 253; 32; 367; 368; 369; 394,0x8000; 0x8004; 0x8005; 0x8007; 0x800C,JumpIf(153); CompareVarValue(138); End(102); Message(90); Jump(79); CloseMessage(62); LocalScript(50); Call(44); FadeScreen(42); Return(42),1556
0004,,18,99,7,0; 1; 2; 3; 6; 10; 25; 26; 27; 28; 29; 30; 36; 57; 71; 72; 77; 116; 117; 118; 119; 120; 121; 122; 136; 139; 140; 141; 142; 144; 146; 147; 149; 172,,,102; 2406,0x4000; 0x4001; 0x4002; 0x4005; 0x400A; 0x4133; 0x8004,CompareVarValue(164); JumpIf(153); Message(94); SetVar(87); Jump(77); CheckPokemonIsSeen(45); TextPokemon(45); CreateMultiTouchBox(41); End(40); CloseMessage(23),1057
0005,WELL CAVE F3,3,28,0,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 13; 14; 15; 16; 17; 18,,,357; 393; 610,0x4000; 0x4003,JumpIf(35); CompareVarValue(29); Message(22); End(18); CloseMessage(16); Jump(13); WaitButton(12); ReleaseAll(12); FadeScreen(10); WaitFadeScreen(10),271
0006,RADE F2 LIBRY; D02FS0101,2,0,0,0; 1,,,394,0x8004,PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); ReleaseAll(2); End(2); WaitButton(1); CloseMessage(1); SetFlag(1); FreezeMessage(1),19
0007,NAVEL WEST 04,1,4,3,0; 1,,,227; 604; 736,0x40F5; 0x40FC,End(6); CommonScript(5); Movement(4); CompareVarValue(4); JumpIf(4); SetFlag(4); SetVar(4); WaitMovement(3); TextPlayerName(3); TextRivalName(3),71
0008,AZELF DEN,1,9,0,,,,2741,,SetWarpPosition(8); Jump(7); JumpIf(5); CompareVarValue(4); End(3); GetTimePeriod(2); CheckFlag(1); GetDayOfWeek(1),31
0009,D HQ1 F1,3,0,0,1,,,,,End(3); SetTextBoard(1); ShowBoard(1); WaitBoard(1); BoardMessage(1); CommonScript(1); PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1),15
0010,D HQ1 F2,6,15,46,2; 3; 4; 5,0x8004,,2741; 622; 664,0x40F6; 0x8008; 0x8009; 0x800C,End(58); Movement(46); WalkOnSpotSouth8(40); WalkOnSpotEast8(37); WalkOnSpotWest8(37); WalkOnSpotNorth8(35); WalkEast4(17); RemoveOW(13); CompareVarValue(11); JumpIf(11),476
0011,D HQ1 F3,2,4,0,,,,164; 363; 773,,End(5); SetFlag(3); CompareVarValue(3); JumpIf(3); ReleaseAll(3); ClearFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),32
0012,ICE PATH C1,2,0,0,,,,,,End(2),2
0013,UXIE DEN,2,8,5,,,,393; 638,,End(13); JumpIf(9); CompareVarValue(8); GetCommonMessageArchive(7); MessageFromArchive(7); Movement(7); CloseMessage(6); FadeScreen(6); WaitFadeScreen(6); WalkNorth8(6),137
0014,MESPIRIT DEN; D11R0105,2,4,0,,,,164; 364; 774,,End(5); SetFlag(3); CompareVarValue(3); JumpIf(3); ReleaseAll(3); ClearFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),32
0015,D HQ1 F4; D11R0106,10,27,9,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25,,,315; 316; 317; 318; 319; 320; 381; 613; 665; 666; 757,0x8004; 0x8005,End(37); Message(26); JumpIf(25); CloseMessage(24); ReleaseAll(21); CompareVarValue(18); SetFlag(18); WaitButton(10); CheckFlag(10); Movement(9),305
