name,raw_value,numeric_id
ITEM_NONE,0,0
ITEM_MASTER_BALL,1,1
ITEM_ULTRA_BALL,2,2
ITEM_GREAT_BALL,3,3
ITEM_POKE_BALL,4,4
ITEM_SAFARI_BALL,5,5
ITEM_NET_BALL,6,6
ITEM_DIVE_BALL,7,7
ITEM_NEST_BALL,8,8
ITEM_REPEAT_BALL,9,9
ITEM_TIMER_BALL,10,10
ITEM_LUXURY_BALL,11,11
ITEM_PREMIER_BALL,12,12
ITEM_DUSK_BALL,13,13
ITEM_HEAL_BALL,14,14
ITEM_QUICK_BALL,15,15
ITEM_CHERISH_BALL,16,16
ITEM_POTION,17,17
ITEM_ANTIDOTE,18,18
ITEM_BURN_HEAL,19,19
ITEM_ICE_HEAL,20,20
ITEM_AWAKENING,21,21
ITEM_PARALYZE_HEAL,22,22
ITEM_FULL_RESTORE,23,23
ITEM_MAX_POTION,24,24
ITEM_HYPER_POTION,25,25
ITEM_SUPER_POTION,26,26
ITEM_FULL_HEAL,27,27
ITEM_REVIVE,28,28
ITEM_MAX_REVIVE,29,29
ITEM_FRESH_WATER,30,30
ITEM_SODA_POP,31,31
ITEM_LEMONADE,32,32
ITEM_MOOMOO_MILK,33,33
ITEM_ENERGY_POWDER,34,34
ITEM_ENERGY_ROOT,35,35
ITEM_HEAL_POWDER,36,36
ITEM_REVIVAL_HERB,37,37
ITEM_ETHER,38,38
ITEM_MAX_ETHER,39,39
ITEM_ELIXIR,40,40
ITEM_MAX_ELIXIR,41,41
ITEM_LAVA_COOKIE,42,42
ITEM_BERRY_JUICE,43,43
ITEM_SACRED_ASH,44,44
ITEM_HP_UP,45,45
ITEM_PROTEIN,46,46
ITEM_IRON,47,47
ITEM_CARBOS,48,48
ITEM_CALCIUM,49,49
ITEM_RARE_CANDY,50,50
ITEM_PP_UP,51,51
ITEM_ZINC,52,52
ITEM_PP_MAX,53,53
ITEM_OLD_GATEAU,54,54
ITEM_GUARD_SPEC,55,55
ITEM_DIRE_HIT,56,56
ITEM_X_ATTACK,57,57
ITEM_X_DEFENSE,58,58
ITEM_X_SPEED,59,59
ITEM_X_ACCURACY,60,60
ITEM_X_SP_ATK,61,61
ITEM_X_SP_DEF,62,62
ITEM_POKE_DOLL,63,63
ITEM_FLUFFY_TAIL,64,64
ITEM_BLUE_FLUTE,65,65
ITEM_YELLOW_FLUTE,66,66
ITEM_RED_FLUTE,67,67
ITEM_BLACK_FLUTE,68,68
ITEM_WHITE_FLUTE,69,69
ITEM_SHOAL_SALT,70,70
ITEM_SHOAL_SHELL,71,71
ITEM_RED_SHARD,72,72
ITEM_BLUE_SHARD,73,73
ITEM_YELLOW_SHARD,74,74
ITEM_GREEN_SHARD,75,75
ITEM_SUPER_REPEL,76,76
ITEM_MAX_REPEL,77,77
ITEM_ESCAPE_ROPE,78,78
ITEM_REPEL,79,79
ITEM_SUN_STONE,80,80
ITEM_MOON_STONE,81,81
ITEM_FIRE_STONE,82,82
ITEM_THUNDER_STONE,83,83
ITEM_WATER_STONE,84,84
ITEM_LEAF_STONE,85,85
ITEM_TINY_MUSHROOM,86,86
ITEM_BIG_MUSHROOM,87,87
ITEM_PEARL,88,88
ITEM_BIG_PEARL,89,89
ITEM_STARDUST,90,90
ITEM_STAR_PIECE,91,91
ITEM_NUGGET,92,92
ITEM_HEART_SCALE,93,93
ITEM_HONEY,94,94
ITEM_GROWTH_MULCH,95,95
ITEM_DAMP_MULCH,96,96
ITEM_STABLE_MULCH,97,97
ITEM_GOOEY_MULCH,98,98
ITEM_ROOT_FOSSIL,99,99
ITEM_CLAW_FOSSIL,100,100
ITEM_HELIX_FOSSIL,101,101
ITEM_DOME_FOSSIL,102,102
ITEM_OLD_AMBER,103,103
ITEM_ARMOR_FOSSIL,104,104
ITEM_SKULL_FOSSIL,105,105
ITEM_RARE_BONE,106,106
ITEM_SHINY_STONE,107,107
ITEM_DUSK_STONE,108,108
ITEM_DAWN_STONE,109,109
ITEM_OVAL_STONE,110,110
ITEM_ODD_KEYSTONE,111,111
ITEM_GRISEOUS_ORB,112,112
ITEM_TEA,113,113
ITEM_UNKNOWN_72,114,114
ITEM_AUTOGRAPH,115,115
ITEM_DOUSE_DRIVE,116,116
ITEM_SHOCK_DRIVE,117,117
ITEM_BURN_DRIVE,118,118
ITEM_CHILL_DRIVE,119,119
ITEM_UNKNOWN_78,120,120
ITEM_POKEMON_BOX,121,121
ITEM_UNKNOWN_7A,122,122
ITEM_UNKNOWN_7B,123,123
ITEM_UNKNOWN_7C,124,124
ITEM_UNKNOWN_7D,125,125
ITEM_UNKNOWN_7E,126,126
ITEM_UNKNOWN_7F,127,127
ITEM_UNKNOWN_80,128,128
ITEM_UNKNOWN_81,129,129
ITEM_UNKNOWN_82,130,130
ITEM_UNKNOWN_83,131,131
ITEM_UNKNOWN_84,132,132
ITEM_UNKNOWN_85,133,133
ITEM_SWEET_HEART,134,134
ITEM_ADAMANT_ORB,135,135
ITEM_LUSTROUS_ORB,136,136
ITEM_GRASS_MAIL,137,137
ITEM_FLAME_MAIL,138,138
ITEM_BUBBLE_MAIL,139,139
ITEM_BLOOM_MAIL,140,140
ITEM_TUNNEL_MAIL,141,141
ITEM_STEEL_MAIL,142,142
ITEM_HEART_MAIL,143,143
ITEM_SNOW_MAIL,144,144
ITEM_SPACE_MAIL,145,145
ITEM_AIR_MAIL,146,146
ITEM_MOSAIC_MAIL,147,147
ITEM_BRICK_MAIL,148,148
ITEM_CHERI_BERRY,149,149
ITEM_CHESTO_BERRY,150,150
ITEM_PECHA_BERRY,151,151
ITEM_RAWST_BERRY,152,152
ITEM_ASPEAR_BERRY,153,153
ITEM_LEPPA_BERRY,154,154
ITEM_ORAN_BERRY,155,155
ITEM_PERSIM_BERRY,156,156
ITEM_LUM_BERRY,157,157
ITEM_SITRUS_BERRY,158,158
ITEM_FIGY_BERRY,159,159
ITEM_WIKI_BERRY,160,160
ITEM_MAGO_BERRY,161,161
ITEM_AGUAV_BERRY,162,162
ITEM_IAPAPA_BERRY,163,163
ITEM_RAZZ_BERRY,164,164
ITEM_BLUK_BERRY,165,165
ITEM_NANAB_BERRY,166,166
ITEM_WEPEAR_BERRY,167,167
ITEM_PINAP_BERRY,168,168
ITEM_POMEG_BERRY,169,169
ITEM_KELPSY_BERRY,170,170
ITEM_QUALOT_BERRY,171,171
ITEM_HONDEW_BERRY,172,172
ITEM_GREPA_BERRY,173,173
ITEM_TAMATO_BERRY,174,174
ITEM_CORNN_BERRY,175,175
ITEM_MAGOST_BERRY,176,176
ITEM_RABUTA_BERRY,177,177
ITEM_NOMEL_BERRY,178,178
ITEM_SPELON_BERRY,179,179
ITEM_PAMTRE_BERRY,180,180
ITEM_WATMEL_BERRY,181,181
ITEM_DURIN_BERRY,182,182
ITEM_BELUE_BERRY,183,183
ITEM_OCCA_BERRY,184,184
ITEM_PASSHO_BERRY,185,185
ITEM_WACAN_BERRY,186,186
ITEM_RINDO_BERRY,187,187
ITEM_YACHE_BERRY,188,188
ITEM_CHOPLE_BERRY,189,189
ITEM_KEBIA_BERRY,190,190
ITEM_SHUCA_BERRY,191,191
ITEM_COBA_BERRY,192,192
ITEM_PAYAPA_BERRY,193,193
ITEM_TANGA_BERRY,194,194
ITEM_CHARTI_BERRY,195,195
ITEM_KASIB_BERRY,196,196
ITEM_HABAN_BERRY,197,197
ITEM_COLBUR_BERRY,198,198
ITEM_BABIRI_BERRY,199,199
ITEM_CHILAN_BERRY,200,200
ITEM_LIECHI_BERRY,201,201
ITEM_GANLON_BERRY,202,202
ITEM_SALAC_BERRY,203,203
ITEM_PETAYA_BERRY,204,204
ITEM_APICOT_BERRY,205,205
ITEM_LANSAT_BERRY,206,206
ITEM_STARF_BERRY,207,207
ITEM_ENIGMA_BERRY,208,208
ITEM_MICLE_BERRY,209,209
ITEM_CUSTAP_BERRY,210,210
ITEM_JABOCA_BERRY,211,211
ITEM_ROWAP_BERRY,212,212
ITEM_BRIGHT_POWDER,213,213
ITEM_WHITE_HERB,214,214
ITEM_MACHO_BRACE,215,215
ITEM_EXP_SHARE,216,216
ITEM_QUICK_CLAW,217,217
ITEM_SOOTHE_BELL,218,218
ITEM_MENTAL_HERB,219,219
ITEM_CHOICE_BAND,220,220
ITEM_KINGS_ROCK,221,221
ITEM_SILVER_POWDER,222,222
ITEM_AMULET_COIN,223,223
ITEM_CLEANSE_TAG,224,224
ITEM_SOUL_DEW,225,225
ITEM_DEEP_SEA_TOOTH,226,226
ITEM_DEEP_SEA_SCALE,227,227
ITEM_SMOKE_BALL,228,228
ITEM_EVERSTONE,229,229
ITEM_FOCUS_BAND,230,230
ITEM_LUCKY_EGG,231,231
ITEM_SCOPE_LENS,232,232
ITEM_METAL_COAT,233,233
ITEM_LEFTOVERS,234,234
ITEM_DRAGON_SCALE,235,235
ITEM_LIGHT_BALL,236,236
ITEM_SOFT_SAND,237,237
ITEM_HARD_STONE,238,238
ITEM_MIRACLE_SEED,239,239
ITEM_BLACK_GLASSES,240,240
ITEM_BLACK_BELT,241,241
ITEM_MAGNET,242,242
ITEM_MYSTIC_WATER,243,243
ITEM_SHARP_BEAK,244,244
ITEM_POISON_BARB,245,245
ITEM_NEVER_MELT_ICE,246,246
ITEM_SPELL_TAG,247,247
ITEM_TWISTED_SPOON,248,248
ITEM_CHARCOAL,249,249
ITEM_DRAGON_FANG,250,250
ITEM_SILK_SCARF,251,251
ITEM_UP_GRADE,252,252
ITEM_SHELL_BELL,253,253
ITEM_SEA_INCENSE,254,254
ITEM_LAX_INCENSE,255,255
ITEM_LUCKY_PUNCH,256,256
ITEM_METAL_POWDER,257,257
ITEM_THICK_CLUB,258,258
ITEM_LEEK,259,259
ITEM_RED_SCARF,260,260
ITEM_BLUE_SCARF,261,261
ITEM_PINK_SCARF,262,262
ITEM_GREEN_SCARF,263,263
ITEM_YELLOW_SCARF,264,264
ITEM_WIDE_LENS,265,265
ITEM_MUSCLE_BAND,266,266
ITEM_WISE_GLASSES,267,267
ITEM_EXPERT_BELT,268,268
ITEM_LIGHT_CLAY,269,269
ITEM_LIFE_ORB,270,270
ITEM_POWER_HERB,271,271
ITEM_TOXIC_ORB,272,272
ITEM_FLAME_ORB,273,273
ITEM_QUICK_POWDER,274,274
ITEM_FOCUS_SASH,275,275
ITEM_ZOOM_LENS,276,276
ITEM_METRONOME,277,277
ITEM_IRON_BALL,278,278
ITEM_LAGGING_TAIL,279,279
ITEM_DESTINY_KNOT,280,280
