name,raw_value,numeric_id
MOVE_NONE,0,0
MOVE_POUND,1,1
MOVE_KARATE_CHOP,2,2
MOVE_DOUBLE_SLAP,3,3
MOVE_COMET_PUNCH,4,4
MOVE_MEGA_PUNCH,5,5
MOVE_PAY_DAY,6,6
MOVE_FIRE_PUNCH,7,7
MOVE_ICE_PUNCH,8,8
MOVE_THUNDER_PUNCH,9,9
MOVE_SCRATCH,10,10
MOVE_VICE_GRIP,11,11
MOVE_GUILLOTINE,12,12
MOVE_RAZOR_WIND,13,13
MOVE_SWORDS_DANCE,14,14
MOVE_CUT,15,15
MOVE_GUST,16,16
MOVE_WING_ATTACK,17,17
MOVE_WHIRLWIND,18,18
MOVE_FLY,19,19
MOVE_BIND,20,20
MOVE_SLAM,21,21
MOVE_VINE_WHIP,22,22
MOVE_STOMP,23,23
MOVE_DOUBLE_KICK,24,24
MOVE_MEGA_KICK,25,25
MOVE_JUMP_KICK,26,26
MOVE_ROLLING_KICK,27,27
MOVE_SAND_ATTACK,28,28
MOVE_HEADBUTT,29,29
MOVE_HORN_ATTACK,30,30
MOVE_FURY_ATTACK,31,31
MOVE_HORN_DRILL,32,32
MOVE_TACKLE,33,33
MOVE_BODY_SLAM,34,34
MOVE_WRAP,35,35
MOVE_TAKE_DOWN,36,36
MOVE_THRASH,37,37
MOVE_DOUBLE_EDGE,38,38
MOVE_TAIL_WHIP,39,39
MOVE_POISON_STING,40,40
MOVE_TWINEEDLE,41,41
MOVE_PIN_MISSILE,42,42
MOVE_LEER,43,43
MOVE_BITE,44,44
MOVE_GROWL,45,45
MOVE_ROAR,46,46
MOVE_SING,47,47
MOVE_SUPERSONIC,48,48
MOVE_SONIC_BOOM,49,49
MOVE_DISABLE,50,50
MOVE_ACID,51,51
MOVE_EMBER,52,52
MOVE_FLAMETHROWER,53,53
MOVE_MIST,54,54
MOVE_WATER_GUN,55,55
MOVE_HYDRO_PUMP,56,56
MOVE_SURF,57,57
MOVE_ICE_BEAM,58,58
MOVE_BLIZZARD,59,59
MOVE_PSYBEAM,60,60
MOVE_BUBBLE_BEAM,61,61
MOVE_AURORA_BEAM,62,62
MOVE_HYPER_BEAM,63,63
MOVE_PECK,64,64
MOVE_DRILL_PECK,65,65
MOVE_SUBMISSION,66,66
MOVE_LOW_KICK,67,67
MOVE_COUNTER,68,68
MOVE_SEISMIC_TOSS,69,69
MOVE_STRENGTH,70,70
MOVE_ABSORB,71,71
MOVE_MEGA_DRAIN,72,72
MOVE_LEECH_SEED,73,73
MOVE_GROWTH,74,74
MOVE_RAZOR_LEAF,75,75
MOVE_SOLAR_BEAM,76,76
MOVE_POISON_POWDER,77,77
MOVE_STUN_SPORE,78,78
MOVE_SLEEP_POWDER,79,79
MOVE_PETAL_DANCE,80,80
MOVE_STRING_SHOT,81,81
MOVE_DRAGON_RAGE,82,82
MOVE_FIRE_SPIN,83,83
MOVE_THUNDER_SHOCK,84,84
MOVE_THUNDERBOLT,85,85
MOVE_THUNDER_WAVE,86,86
MOVE_THUNDER,87,87
MOVE_ROCK_THROW,88,88
MOVE_EARTHQUAKE,89,89
MOVE_FISSURE,90,90
MOVE_DIG,91,91
MOVE_TOXIC,92,92
MOVE_CONFUSION,93,93
MOVE_PSYCHIC,94,94
MOVE_HYPNOSIS,95,95
MOVE_MEDITATE,96,96
MOVE_AGILITY,97,97
MOVE_QUICK_ATTACK,98,98
MOVE_RAGE,99,99
MOVE_TELEPORT,100,100
MOVE_NIGHT_SHADE,101,101
MOVE_MIMIC,102,102
MOVE_SCREECH,103,103
MOVE_DOUBLE_TEAM,104,104
MOVE_RECOVER,105,105
MOVE_HARDEN,106,106
MOVE_MINIMIZE,107,107
MOVE_SMOKESCREEN,108,108
MOVE_CONFUSE_RAY,109,109
MOVE_WITHDRAW,110,110
MOVE_DEFENSE_CURL,111,111
MOVE_BARRIER,112,112
MOVE_LIGHT_SCREEN,113,113
MOVE_HAZE,114,114
MOVE_REFLECT,115,115
MOVE_FOCUS_ENERGY,116,116
MOVE_BIDE,117,117
MOVE_METRONOME,118,118
MOVE_MIRROR_MOVE,119,119
MOVE_SELF_DESTRUCT,120,120
MOVE_EGG_BOMB,121,121
MOVE_LICK,122,122
MOVE_SMOG,123,123
MOVE_SLUDGE,124,124
MOVE_BONE_CLUB,125,125
MOVE_FIRE_BLAST,126,126
MOVE_WATERFALL,127,127
MOVE_CLAMP,128,128
MOVE_SWIFT,129,129
MOVE_SKULL_BASH,130,130
MOVE_SPIKE_CANNON,131,131
MOVE_CONSTRICT,132,132
MOVE_AMNESIA,133,133
MOVE_KINESIS,134,134
MOVE_SOFT_BOILED,135,135
MOVE_HIGH_JUMP_KICK,136,136
MOVE_GLARE,137,137
MOVE_DREAM_EATER,138,138
MOVE_POISON_GAS,139,139
MOVE_BARRAGE,140,140
MOVE_LEECH_LIFE,141,141
MOVE_LOVELY_KISS,142,142
MOVE_SKY_ATTACK,143,143
MOVE_TRANSFORM,144,144
MOVE_BUBBLE,145,145
MOVE_DIZZY_PUNCH,146,146
MOVE_SPORE,147,147
MOVE_FLASH,148,148
MOVE_PSYWAVE,149,149
MOVE_SPLASH,150,150
MOVE_ACID_ARMOR,151,151
MOVE_CRABHAMMER,152,152
MOVE_EXPLOSION,153,153
MOVE_FURY_SWIPES,154,154
MOVE_BONEMERANG,155,155
MOVE_REST,156,156
MOVE_ROCK_SLIDE,157,157
MOVE_HYPER_FANG,158,158
MOVE_SHARPEN,159,159
MOVE_CONVERSION,160,160
MOVE_TRI_ATTACK,161,161
MOVE_SUPER_FANG,162,162
MOVE_SLASH,163,163
MOVE_SUBSTITUTE,164,164
MOVE_STRUGGLE,165,165
MOVE_SKETCH,166,166
MOVE_TRIPLE_KICK,167,167
MOVE_THIEF,168,168
MOVE_SPIDER_WEB,169,169
MOVE_MIND_READER,170,170
MOVE_NIGHTMARE,171,171
MOVE_FLAME_WHEEL,172,172
MOVE_SNORE,173,173
MOVE_CURSE,174,174
MOVE_FLAIL,175,175
MOVE_CONVERSION_2,176,176
MOVE_AEROBLAST,177,177
MOVE_COTTON_SPORE,178,178
MOVE_REVERSAL,179,179
MOVE_SPITE,180,180
MOVE_POWDER_SNOW,181,181
MOVE_PROTECT,182,182
MOVE_MACH_PUNCH,183,183
MOVE_SCARY_FACE,184,184
MOVE_FEINT_ATTACK,185,185
MOVE_SWEET_KISS,186,186
MOVE_BELLY_DRUM,187,187
MOVE_SLUDGE_BOMB,188,188
MOVE_MUD_SLAP,189,189
MOVE_OCTAZOOKA,190,190
MOVE_SPIKES,191,191
MOVE_ZAP_CANNON,192,192
MOVE_FORESIGHT,193,193
MOVE_DESTINY_BOND,194,194
MOVE_PERISH_SONG,195,195
MOVE_ICY_WIND,196,196
MOVE_DETECT,197,197
MOVE_BONE_RUSH,198,198
MOVE_LOCK_ON,199,199
MOVE_OUTRAGE,200,200
MOVE_SANDSTORM,201,201
MOVE_GIGA_DRAIN,202,202
MOVE_ENDURE,203,203
MOVE_CHARM,204,204
MOVE_ROLLOUT,205,205
MOVE_FALSE_SWIPE,206,206
MOVE_SWAGGER,207,207
MOVE_MILK_DRINK,208,208
MOVE_SPARK,209,209
MOVE_FURY_CUTTER,210,210
MOVE_STEEL_WING,211,211
MOVE_MEAN_LOOK,212,212
MOVE_ATTRACT,213,213
MOVE_SLEEP_TALK,214,214
MOVE_HEAL_BELL,215,215
MOVE_RETURN,216,216
MOVE_PRESENT,217,217
MOVE_FRUSTRATION,218,218
MOVE_SAFEGUARD,219,219
MOVE_PAIN_SPLIT,220,220
MOVE_SACRED_FIRE,221,221
MOVE_MAGNITUDE,222,222
MOVE_DYNAMIC_PUNCH,223,223
MOVE_MEGAHORN,224,224
MOVE_DRAGON_BREATH,225,225
MOVE_BATON_PASS,226,226
MOVE_ENCORE,227,227
MOVE_PURSUIT,228,228
MOVE_RAPID_SPIN,229,229
MOVE_SWEET_SCENT,230,230
MOVE_IRON_TAIL,231,231
