name,raw_value,numeric_id
TRAINERCLASS_PKMN_TRAINER_ETHAN,0,0
TRAINERCLASS_PKMN_TRAINER_LYRA,1,1
TRAINERCLASS_YOUNGSTER,2,2
TRAINERCLASS_LASS,3,3
TRAINERCLASS_CAMPER,4,4
TRAINERCLASS_PICNICKER,5,5
TRAINERCLASS_BUG_CATCHER,6,6
TRAINERCLASS_AROMA_LADY,7,7
TRAINERCLASS_TWINS,8,8
TRAINERCLASS_HIKER,9,9
TRAINERCLASS_BATTLE_GIRL,10,10
TRAINERCLASS_FISHERMAN,11,11
TRAINERCLASS_CYCLIST_M,12,12
TRAINERCLASS_CYCLIST_F,13,13
TRAINERCLASS_BLACK_BELT,14,14
TRAINERCLASS_ARTIST,15,15
TRAINERCLASS_PKMN_BREEDER_M,16,16
TRAINERCLASS_PKMN_BREEDER_F,17,17
TRAINERCLASS_COWGIRL,18,18
TRAINERCLASS_JOGGER,19,19
TRAINERCLASS_POKEFAN_M,20,20
TRAINERCLASS_POKEFAN,21,21
TRAINERCLASS_POKE_KID,22,22
TRAINERCLASS_RIVAL,23,23
TRAINERCLASS_ACE_TRAINER_M,24,24
TRAINERCLASS_ACE_TRAINER_F,25,25
TRAINERCLASS_WAITRESS,26,26
TRAINERCLASS_VETERAN,27,27
TRAINERCLASS_NINJA_BOY,28,28
TRAINERCLASS_DRAGON_TAMER,29,29
TRAINERCLASS_BIRD_KEEPER,30,30
TRAINERCLASS_JUGGLER,31,31
TRAINERCLASS_RICH_BOY,32,32
TRAINERCLASS_LADY,33,33
TRAINERCLASS_GENTLEMAN,34,34
TRAINERCLASS_SOCIALITE,35,35
TRAINERCLASS_BEAUTY,36,36
TRAINERCLASS_COLLECTOR,37,37
TRAINERCLASS_POLICEMAN,38,38
TRAINERCLASS_PKMN_RANGER_M,39,39
TRAINERCLASS_PKMN_RANGER_F,40,40
TRAINERCLASS_SCIENTIST,41,41
TRAINERCLASS_SWIMMER_M,42,42
TRAINERCLASS_SWIMMER_F,43,43
TRAINERCLASS_TUBER_M,44,44
TRAINERCLASS_TUBER_F,45,45
TRAINERCLASS_SAILOR,46,46
TRAINERCLASS_KIMONO_GIRL,47,47
TRAINERCLASS_RUIN_MANIAC,48,48
TRAINERCLASS_PSYCHIC_M,49,49
TRAINERCLASS_PSYCHIC_F,50,50
TRAINERCLASS_PI,51,51
TRAINERCLASS_GUITARIST,52,52
TRAINERCLASS_ACE_TRAINER_M_GS,53,53
TRAINERCLASS_ACE_TRAINER_F_GS,54,54
