event_file,maps,spawnable_count,overworld_count,warp_count,trigger_count,file_size_bytes
0000,EVERYWHERE(H0); NOTHING(H1); UG(H3); D24(H8); SYDT TWR F1(H199); SYDT TWR F2(H200); SYDT TWR F3(H201); SYDT TWR F4(H202); SYDT TWR F5(H203); SYDT TWR F6(H204); -(H266); -(H267); -(H270); -(H271); -(H272); -(H273); -(H274); D11R0107(H458); R05R0101(H468); D22R0103(H488); R00(H538); TEST1(H540); NEWMAP(H542); NEWMAP(H543); NEWMAP(H544),0,0,1,0,28
0001,UNION(H2),0,51,1,0,1660
0002,DIRECT2(H4),0,1,0,1,64
0003,DIRECT4(H5),0,1,0,0,48
0004,D17R1101(H6),5,1,3,0,184
0005,D18R0101(H7); BURNT TWR F1(H268),2,14,2,2,560
0006,R01(H9); RT 1 AREA 1(H22),1,2,0,0,100
0007,RT 2 AREA 1(H30); RT 2 AREA 2(H31),1,3,6,0,204
0008,RT 3 AREA 1(H39); RT 3 AREA 2(H40),0,3,6,0,184
0009,RT 3 AREA 3(H42),0,1,1,0,60
0010,RT 3 AREA 4(H43),0,1,3,0,84
0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),0,24,4,0,832
0012,RT 7 SCIENCE(H135),0,0,1,0,28
0013,,0,0,2,0,40
0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),0,27,24,0,1168
0015,-(H74); ROCK CAVE 01(H90); ICE CAVE 01(H92); STEEL CAVE 01(H94),3,2,9,1,264
0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),0,14,6,0,536
0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),0,23,4,0,800
0018,ROCK CAVE 02(H91),0,1,1,0,60
0019,-(H75); ICE CAVE 02(H93),0,1,1,1,76
0020,STEEL CAVE 02(H95),0,1,1,0,60
0021,RT 12 AREA 1(H240); RT 12 AREA 2(H261); RT 12 AREA 3(H262),1,0,4,0,84
0022,BIKE ROAD TOP(H259),0,10,8,0,432
0023,RT 11 AREA 1(H221); RT 11 AREA 2(H222); RT 11 AREA 3(H223); RT 11 AREA 4(H224); RT 11 AREA 5(H225),0,19,4,0,672
0024,-(H264),1,4,2,0,188
0025,-(H265),0,3,0,1,128
0026,-(H263),2,16,1,2,612
0027,ULURU 1 A1(H275); ULURU 1 A2(H276); ULURU 1 A3(H277),0,10,4,0,384
0028,RT 14 AREA 1(H278); RT 14 AREA 5(H286); RT 14 AREA 6(H287); RT 14 AREA 2(H288); RT 14 AREA 3(H289); RT 14 AREA 4(H290),0,20,4,0,704
0029,RT 19 AREA 1(H312); RT 19 AREA 2(H313); RT 19 AREA 3(H314),0,24,2,0,808
0030,ULURU 2 A1(H315); ULURU 2 A2(H316),0,18,6,0,664
0031,RT 13 AREA 1(H317); RT 13 AREA 2(H318); RT 13 AREA 3(H319); RT 13 AREA 4(H320); RT 13 AREA 5(H321); RT 13 AREA 6(H322); RT 13 AREA 7(H323),0,23,4,0,800
0032,ULURU 3 A1(H324); ULURU 3 A2(H325),0,12,4,0,448
0033,UNDARA AREA 1(H326); UNDARA AREA 2(H327); UNDARA AREA 3(H328); UNDARA AREA 4(H329),0,18,11,0,724
0034,PRIMAL CAVE 1(H335); -(H336); -(H337),1,4,8,0,260
0035,SHALLOW C 1(H338); SHALLOW C 2(H339); SHALLOW C 3(H340); SHALLOW C 4(H341),0,21,3,0,724
0036,RT 15 AREA 1(H343),0,4,4,0,192
0037,ULURU 4 A1(H346); ULURU 4 A2(H347); ULURU 4 A3(H350),5,9,6,0,476
0038,SPEAR PLR 1(H348); SPEAR PLR 2(H349),2,9,0,0,344
0039,RT 18 AREA 1(H351); RT 18 AREA 2(H352); RT 18 AREA 3(H353); RT 18 AREA 4(H354); RT 17 AREA 1(H401); RT 17 AREA 2(H402); RT 17 AREA 3(H403); RT 17 AREA 4(H404); RT 17 AREA 5(H405); RT 17 AREA 6(H406); RT 17 AREA 7(H407); RT 17 AREA 8(H408),0,18,6,0,664
0040,HAUNT AREA 1(H387); HAUNT AREA 2(H388); HAUNT AREA 3(H389); HAUNT AREA 4(H390); HAUNT AREA 5(H391),0,18,3,0,628
0041,MANSION A1(H392),0,3,5,0,172
0042,D HQ1 F2(H68),6,10,2,0,480
0043,RT 9 AREA 1(H242); RT 9 AREA 2(H243); RT 9 AREA 3(H244); RT 9 AREA 4(H246); RT 9 AREA 5(H247); RT 10 AREA 1(H248); RT 10 AREA 2(H249),0,43,3,0,1428
0044,UNDARA CAVE 3(H332); UNDARA CAVE 4(H333),0,0,4,0,64
0045,UNDARA CAVE 2(H331),0,11,2,0,392
0046,HAMPELL TOWN(H23),4,4,7,0,308
0047,UNDARA CAVE 1(H330),0,0,1,0,28
0048,RT 8 AREA 1(H150); RT 8 AREA 2(H151); RT 8 AREA 3(H161); RT 8 AREA 4(H162),0,13,6,0,504
0049,D HQ1 F3(H69),6,9,3,0,460
0050,D HQ1 F4(H70),2,9,4,0,392
0051,D HQ1 F5(H71),2,3,3,0,188
0052,D HQ1 F6(H72),0,2,1,0,92
0053,DANB 08 HS15(H144),0,0,1,0,28
0054,A HQ1 F1(H179),0,0,2,0,40
0055,A HQ1 F2(H180),0,0,2,0,40
0056,TROOME CITY(H409); TROOME TBD 1(H420); TROOME TBD 2(H421); TROOME TBD 3(H422); TROOME TBD 4(H423); TROOME TBD 5(H424); TROOME TBD 6(H425); TROOME TBD 7(H426); TROOME TBD 8(H427); TROOME TBD 9(H428); TROOME TBD 10(H429),0,1,11,0,180
0057,MAUNCESTON T(H10),0,7,8,0,336
0058,MAUN 09 LAB01(H19),11,4,1,2,408
0059,MAUN 10 LAB02(H20),0,11,1,0,380
0060,MAUN 01 MUM(H11),5,1,2,0,172
0061,MAUN 02 PROT(H12),2,3,1,0,164
0062,MAUN 03 HS01(H13),0,1,2,0,72
0063,A HQ1 F3(H181),0,0,3,0,52
0064,LOBART CITY(H56); RT 4 AREA 1(H81),0,3,11,0,244
0065,HAMP 03 PM01(H26),0,6,1,0,220
0066,HAMP 01 PC01(H24),1,10,2,0,380
0067,MAUN 05 HS02(H15),0,2,2,0,104
0068,MAUN 07 HS03(H17),0,1,2,0,72
0069,MAUN 11 HS04(H21),0,2,1,0,92
0070,MELTON CITY(H107),0,4,17,0,348
0071,DANBERRA CITY(H136),0,1,12,0,192
0072,BAIRNS TOWN(H250),0,2,16,0,272
0073,SYDTREE CITY(H163),0,1,23,0,324
0074,SHEDSNOW TOWN(H279),0,1,6,0,120
0075,DALICE STRING(H299),0,1,16,0,240
0076,LOBA 03 PM02(H59),0,6,1,0,220
0077,TROO 05 GYM08(H414),2,7,1,15,532
0078,LOBA 01 PC02(H57),1,8,3,0,328
0079,HAMP 04 HS05(H27),0,0,1,0,28
0080,A HQ1 F4(H182),0,0,4,0,64
0081,HAMP 05 HS06(H28),0,2,1,0,92
0082,HAMP 06 HS07(H29),0,2,1,0,92
0083,A HQ1 F5(H183),0,0,3,0,52
0084,TERTH CITY(H446),0,1,1,0,60
0085,A HQ1 F6(H184),0,0,1,0,28
0086,RADELAIDE CTY(H355),0,1,12,0,192
0087,D HQ1 F1(H185),0,0,2,0,40
0088,D HQ1 F2(H186),0,0,2,0,40
0089,D HQ1 F3(H187),0,0,3,0,52
0090,D HQ1 F4(H188),0,0,4,0,64
0091,D HQ1 F5(H189),0,0,3,0,52
0092,D HQ1 F6(H190),0,0,1,0,28
0093,,5,29,7,0,1128
0094,MELT 13 GH01(H128),0,3,2,1,152
0095,,0,3,2,0,136
0096,NAVEL WEST 01(H32),3,5,10,0,356
0097,BAIR 08 GH04(H220); SYDT 06 GH03(H231),0,2,2,0,104
0098,LOBA 07 GV01(H82),0,2,2,0,104
0099,,5,8,3,1,424
0100,MELT 11 GV02(H118),0,2,2,0,104
0101,,0,2,2,0,104
0102,,0,0,0,0,16
0103,WELL CAVE F3(H147),2,7,8,0,376
0104,NAVEL WEST 04(H35),0,0,8,0,112
0105,,2,2,6,0,192
0106,ICE PATH C1(H291),0,4,4,1,208
0107,RADE F3 LIBRY(H373),0,0,1,0,28
0108,HO-OH TWR F1(H44),0,1,3,2,116
0109,A HQ1 F1(H61); -(H76); -(H77); -(H192); -(H193); -(H194); -(H195),4,10,2,2,472
0110,GBR 01(H545),0,1,1,0,60
0111,WELL CAVE F1(H145),1,2,2,0,124
0112,LIGHT H 01 F1(H212),0,2,3,0,116
0113,,1,9,2,0,348
0114,SYD FOREST 01(H232); SYD FOREST 02(H233); SYD FOREST 03(H234); SYD FOREST 04(H235); SYD FOREST 05(H236); SYD FOREST 06(H237); SYD FOREST 07(H238); SYD FOREST 08(H239),0,14,2,0,488
0115,,0,4,10,0,264
0116,,2,2,11,0,252
0117,LOBART CAVERN(H84),0,7,6,0,312
0118,,1,2,10,0,220
0119,,3,2,7,0,224
0120,NAVEL EAST 01(H41),0,2,9,0,188
0121,,2,6,3,0,284
0122,,0,0,2,0,40
0123,,0,2,3,0,116
0124,LOBA 05 HS09(H79),0,1,1,0,60
0125,,0,0,0,1,32
0126,,0,0,0,0,16
0127,HAMP 02 PCR01(H25),0,3,1,0,124
0128,,0,1,2,0,72
0129,RT 5 02 HS10(H104),0,2,1,0,92
0130,MELT 12 GV03(H120),0,2,2,0,104
0131,RADE 05 GYM07(H360),2,5,1,1,244
0132,,2,1,2,0,112
0133,LOBA 04 GYM01(H60),2,5,1,1,244
0134,SEWER AREA 01(H375); SEWER AREA 02(H376); SEWER AREA 03(H377),0,0,6,0,88
0135,MELT 04 GYM02(H111),3,5,1,0,248
0136,SEWER ROOM 01(H378),0,0,5,0,76
0137,BAIR 04 GYM05(H254),2,7,1,4,356
0138,DANB 09 GV04(H149),0,1,2,0,72
0139,,0,2,1,0,92
0140,LOBA 02 PCR02(H58),0,4,1,0,156
0141,,3,11,15,0,608
0142,,1,0,6,0,108
0143,,7,12,6,0,612
0144,WLDA02 GH08(H526),0,2,2,0,104
0145,SYDT 01 GV05(H164),0,0,2,0,40
0146,,2,13,7,0,556
0147,,1,6,0,0,228
0148,NAVEL WEST 02(H33),2,5,6,0,288
0149,SUBTRN CAVE(H85),0,11,8,0,464
0150,SWORD TRIO(H125),0,0,2,0,40
0151,MOLTEN CAVERN(H126),0,12,1,1,428
0152,MELT 03 PM03(H110),0,7,1,0,252
0153,MELT 01 PC03(H108),1,10,2,0,380
0154,LOBA 06 SCHOO(H80),4,7,1,0,332
0155,MELT 09 HS11(H116),0,3,1,0,124
0156,DANB 06 HS13(H142),0,2,1,0,92
0157,DANB 07 HS14(H143),0,4,1,0,156
0158,,2,3,1,0,164
0159,DANB 04 PM04(H140),0,6,1,0,220
0160,DANB 02 PC04(H138),1,7,2,0,284
0161,MELT 02 PCR03(H109),0,3,1,0,124
0162,DANB 03 PCR04(H139),0,3,1,0,124
0163,SYDT 02 PC05(H165),1,7,2,0,284
0164,SYDT 03 PCR05(H166),0,3,1,0,124
0165,SYDT 06 GV06(H241),0,3,2,0,136
0166,TROO 01 GH 09(H410),0,1,2,0,72
0167,,1,7,3,0,296
0168,MANSION A5(H396),0,1,1,0,60
0169,,2,10,3,0,412
0170,WELL CAVE F2(H146),2,9,2,0,368
0171,RELIC RUIN F3(H294); RELIC RUIN F2(H295); RELIC RUIN F1(H296),0,11,9,0,476
0172,,2,11,6,6,576
0173,,4,6,1,12,492
0174,WELL CAVE F4(H148),0,4,4,0,192
0175,MELT 08 BIKE(H115),16,1,1,0,380
0176,,22,11,1,0,820
0177,,0,2,1,0,92
0178,BAIR 01 PC07(H251),1,7,2,0,284
0179,A HQ1 F2(H62),6,10,2,0,480
0180,A HQ1 F3(H63),6,9,3,0,460
0181,A HQ1 F4(H64),2,9,4,0,392
0182,A HQ1 F5(H65),2,3,3,0,188
0183,A HQ1 F6(H66),0,2,1,0,92
0184,DEPART 1 F1(H168),1,6,3,0,264
0185,DEPART 1 F2(H169),1,5,3,0,232
0186,DEPART 1 F3(H170),1,3,3,0,168
0187,DEPART 1 F4(H171),1,4,3,0,200
0188,DEPART 1 F5(H172),1,5,3,0,232
0189,DEPART 1 F6(H173),4,5,2,0,280
0190,,1,1,3,6,200
0191,DRAGON DEN 01(H297),0,0,3,0,52
0192,,12,14,7,2,820
0193,DEPART 1 B1(H174),3,22,2,0,804
0194,,4,37,2,1,1320
0195,,2,7,2,0,304
0196,HOTEL 1 HS16(H207),0,3,2,0,136
0197,HOTEL 1 HS17(H209),0,3,2,0,136
0198,HOTEL 1 HS18(H211),0,2,2,0,104
0199,,0,1,1,0,60
0200,GLOBAL TWR F1(H176),11,13,3,0,688
0201,,0,2,2,0,104
0202,,0,7,2,0,264
0203,,0,0,2,0,40
0204,BURNT TWR F2(H269),2,13,2,1,512
0205,BAIR 02 PCR07(H252),0,3,1,0,124
0206,LIGHT H 01 F2(H213),0,2,3,0,116
0207,LIGHT H 01 F3(H214),0,1,1,0,60
0208,LIGHT H 01 F4(H215),1,4,6,0,236
0209,LIGHT H 01 F5(H216),0,3,4,1,176
0210,LIGHT H 01 F6(H217),0,4,3,0,180
0211,LIGHT H 01 F7(H218),0,5,2,0,200
0212,SHED 01 PC08(H280),1,8,2,0,316
0213,BAIR 03 PM05(H253),0,6,1,0,220
0214,SYDT 05 HS19(H228),0,1,1,0,60
0215,BAIR 06 HS20(H256),0,3,1,0,124
0216,BAIR 07 HS21(H257),0,1,1,0,60
0217,,0,6,1,0,220
0218,SHED 04 HS22(H283),0,1,1,0,60
0219,SHED 05 HS23(H284),0,1,1,0,60
0220,SHED 04 HS24(H285),0,1,1,0,60
0221,DALI 05 HS25(H304),0,3,1,0,124
0222,DALI 01 PC09(H300),1,7,2,0,284
0223,SANDSTONE COV(H105),0,10,1,1,364
0224,FLORAL FISURE(H127),0,10,1,1,364
0225,SHREDSNOW TMP(H226); REGIGIGAS TMP(H227),0,0,3,0,52
0226,SYDT DOCK 01(H229),0,4,3,0,180
0227,,0,3,1,0,124
0228,,4,6,14,0,456
0229,NAVEL WEST 05(H36); SPARK ROAR C(H131),1,4,4,0,212
0230,LUGIA DEN 01(H37),0,11,1,1,396
0231,WLDA01 GV07(H525),0,3,2,0,136
0232,DALI 02 PCR09(H301); RADE 02 PC10(H357),1,7,2,0,284
0233,,2,11,2,22,784
0234,,8,19,5,7,956
0235,,0,19,4,3,720
0236,,5,12,10,0,620
0237,,4,7,2,0,344
0238,REGIDRACO DEN(H132),2,7,4,0,328
0239,REGIELECT DEN(H133),4,13,3,2,580
0240,,3,14,3,0,560
0241,,0,1,0,0,48
0242,,0,6,0,0,208
0243,,25,25,16,4,1572
0244,,0,10,6,0,408
0245,,0,0,0,0,16
0246,,1,9,3,0,360
0247,,1,14,3,0,520
0248,,1,9,3,0,360
0249,,1,12,3,0,456
0250,MANSION A4(H395),0,0,6,0,88
0251,,7,19,4,1,828
0252,SEWER ROOM 04(H381),0,0,2,0,40
0253,,0,19,1,0,636
0254,,0,0,2,0,40
0255,,11,15,2,0,740
0256,,13,10,2,0,620
0257,,6,6,2,0,352
0258,,4,3,1,0,204
0259,DRAGON DEN 02(H298),0,5,1,0,188
0260,DALI 06 HS26(H305),0,2,1,0,92
0261,DALI 07 HS27(H306),0,2,1,0,92
0262,DALI 08 HS28(H307),0,5,1,0,188
0263,SHED 03 PM06(H282),0,6,1,0,220
0264,TROO 02 PC11(H411),1,7,2,0,284
0265,DALI 09 HS29(H308),0,1,1,0,60
0266,RADE 06 HS30(H361),0,1,1,0,60
0267,RADE 07 HS31(H362),0,1,1,0,60
0268,RT 9 HS32(H245),1,0,1,0,48
0269,,1,6,1,0,240
0270,,0,4,4,3,240
0271,,2,9,3,1,396
0272,,0,5,4,0,224
0273,,0,5,4,0,224
0274,,0,5,4,0,224
0275,,0,5,4,0,224
0276,,0,5,2,1,216
0277,,0,1,1,0,60
0278,BOAT 01(H96),0,4,13,1,316
0279,BOAT 02(H97),0,2,1,0,92
0280,BOAT 03(H98),0,3,2,1,152
0281,BOAT 04(H99),0,4,2,0,168
0282,BOAT 05(H100),0,4,2,0,168
0283,VICTRY RD 2 2(H502),0,0,4,0,64
0284,VICTRY RD 2 3(H503),0,0,5,0,76
0285,VICTRY RD 2 4(H504),0,0,3,0,52
0286,VICTRY RD 2 5(H505),0,0,2,0,40
0287,VICTRY RD 3 1(H506); VICTRY RD 3 2(H507),0,0,3,0,52
0288,VICTRY RD 4 1(H508); VICTRY RD 4 2(H509); VICTRY RD 4 3(H510); VICTRY RD 4 4(H511); VICTRY RD 4 5(H512); VICTRY RD 4 6(H513); VICTRY RD 4 7(H514),0,0,1,0,28
0289,RADE HQ #####(H374),0,0,4,0,64
0290,,0,0,0,1,32
0291,,0,0,0,1,32
0292,VICTRY RD 2 1(H501),0,0,13,0,172
0293,HOTEL 2 HS33(H365),0,1,2,0,72
0294,NAVEL WEST 03(H34),0,1,1,0,60
