entity_type,event_file,maps,entity_index,ow_id,overlay_entry,ow_type,script_file,script_num,flag
overworld,0001,UNION(H2),0,0,337,NORMAL,957,8,0x0000
overworld,0001,UNION(H2),1,1,3,NORMAL,957,4,0x0000
overworld,0001,UNION(H2),2,2,3,NORMAL,957,4,0x0000
overworld,0001,UNION(H2),3,3,3,NORMAL,957,4,0x0000
overworld,0001,UNION(H2),4,4,37,NORMAL,957,4,0x0000
overworld,0001,UNION(H2),5,5,31,NORMAL,957,4,0x0000
overworld,0001,UNION(H2),6,6,3,NORMAL,957,4,0x0000
overworld,0001,UNION(H2),7,7,3,NORMAL,957,4,0x0000
overworld,0001,UNION(H2),8,8,6,NORMAL,957,4,0x0000
overworld,0001,UNION(H2),9,9,3,NORMAL,957,4,0x0000
overworld,0001,UNION(H2),10,10,3,NORMAL,957,4,0x0000
overworld,0001,UNION(H2),11,11,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),12,12,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),13,13,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),14,14,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),15,15,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),16,16,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),17,17,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),18,18,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),19,19,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),20,20,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),21,21,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),22,22,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),23,23,14,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),24,24,42,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),25,25,63,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),26,26,35,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),27,27,5,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),28,28,50,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),29,29,51,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),30,30,11,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),31,31,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),32,32,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),33,33,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),34,34,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),35,35,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),36,36,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),37,37,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),38,38,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),39,39,62,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),40,40,7,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),41,41,13,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),42,42,70,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),43,43,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),44,44,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),45,45,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),46,46,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),47,47,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),48,48,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),49,49,3,NORMAL,957,7,0x0000
overworld,0001,UNION(H2),50,50,3,NORMAL,957,7,0x0000
overworld,0002,DIRECT2(H4),0,0,337,NORMAL,137,9100,0x0000
overworld,0003,DIRECT4(H5),0,0,337,NORMAL,138,9100,0x0000
overworld,0004,D17R1101(H6),0,0,355,NORMAL,22,2,0x02CA
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),0,0,148,NORMAL,23,0,0x01C6
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),1,1,382,NORMAL,23,2,0x01C7
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),2,2,355,NORMAL,23,3,0x01CC
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),3,3,227,TRAINER,23,3280,0x0000
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),4,4,227,TRAINER,23,3281,0x0000
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),5,5,1039,NORMAL,23,0,0x01E0
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),6,6,1037,NORMAL,23,0,0x01DE
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),7,7,1038,NORMAL,23,0,0x01DF
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),8,8,85,NORMAL,23,10001,0x0010
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),9,9,85,NORMAL,23,10001,0x0011
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),10,10,85,NORMAL,23,10001,0x0012
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),11,11,87,NORMAL,23,7045,0x0431
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),12,12,87,NORMAL,23,7018,0x050B
overworld,0005,D18R0101(H7); BURNT TWR F1(H268),13,13,1039,NORMAL,23,0,0x030E
overworld,0006,R01(H9); RT 1 AREA 1(H22),0,0,262,NORMAL,168,2800,0x0000
overworld,0006,R01(H9); RT 1 AREA 1(H22),1,1,328,NORMAL,168,1,0x027E
overworld,0007,RT 2 AREA 1(H30); RT 2 AREA 2(H31),0,0,4,TRAINER,169,3000,0x0000
overworld,0007,RT 2 AREA 1(H30); RT 2 AREA 2(H31),1,1,12,TRAINER,169,3001,0x0000
overworld,0007,RT 2 AREA 1(H30); RT 2 AREA 2(H31),2,2,9,TRAINER,169,3002,0x0000
overworld,0008,RT 3 AREA 1(H39); RT 3 AREA 2(H40),0,0,317,TRAINER,175,3006,0x0000
overworld,0008,RT 3 AREA 1(H39); RT 3 AREA 2(H40),1,1,12,TRAINER,175,3007,0x0000
overworld,0008,RT 3 AREA 1(H39); RT 3 AREA 2(H40),2,2,45,TRAINER,175,3008,0x0000
overworld,0009,RT 3 AREA 3(H42),0,0,1431,NORMAL,178,1,0x0310
overworld,0010,RT 3 AREA 4(H43),0,0,211,TRAINER,179,3010,0x0000
