Slot,Level,Morning,Day,Night
1,45,DUNSPARCE,DUNSPARCE,DUNSPARCE
2,45,CRABOMINABLE,CRABOMINABLE,CRABOMINABLE
3,45,AVALUGG,AVALUGG,AVALUGG
4,45,GLALIE,GLALIE,GLALIE
5,45,NINETALES@1,NINETALES@1,NINETALES@1
6,45,DARMANITAN@1,DARMANITAN@1,DARMANITAN@1
7,45,DARMANITAN@1,DARMANITAN@1,DARMANITAN@1
8,45,DUDUNSPARCE,DUDUNSPARCE,DUDUNSPARCE
9,45,DUDUNSPARCE,DUDUNSPARCE,DUDUNSPARCE
10,45,NINETALES@1,NINETALES@1,NINETALES@1
11,45,NINETALES@1,NINETALES@1,NINETALES@1
12,45,NINETALES@1,NINETALES@1,NINETALES@1
