,Decomp Names,DSPRE Names,Function,Notes
0000,FaceNorth,FaceNorth,Event faces up,
0001,FaceSouth,FaceSouth,Event faces down,
0002,FaceWest,FaceWest,Event faces left,
0003,FaceEast,FaceEast,Event faces right,
0004,WalkSlowerNorth,WalkNorth32,Event faces up and moves northwards at 1 tile per 32 frames,Equivalent to 0.94 tiles per second.
0005,WalkSlowerSouth,WalkSouth32,Event faces down and moves southwards at 1 tile per 32 frames,Equivalent to 0.94 tiles per second.
0006,WalkSlowerWest,WalkWest32,Event faces left and moves westwards at 1 tile per 32 frames,Equivalent to 0.94 tiles per second.
0007,WalkSlowerEast,WalkEast32,Event faces right and moves eastwards at 1 tile per 32 frames,Equivalent to 0.94 tiles per second.
0008,WalkSlowNorth,WalkNorth16,Event faces up and moves northwards at 1 tile per 16 frames,Equivalent to 1.875 tiles per second.
0009,WalkSlowSouth,WalkSouth16,Event faces down and moves southwards at 1 tile per 16 frames,Equivalent to 1.875 tiles per second.
000A,WalkSlowWest,WalkWest16,Event faces left and moves westwards at 1 tile per 16 frames,Equivalent to 1.875 tiles per second.
000B,WalkSlowEast,WalkEast16,Event faces right and moves eastwards at 1 tile per 16 frames,Equivalent to 1.875 tiles per second.
000C,WalkNormalNorth,WalkNorth8,Event faces up and moves northwards at 1 tile per 8 frames,Equivalent to 3.75 tiles per second. This should be taken as the standard speed.
000D,WalkNormalSouth,WalkSouth8,Event faces down and moves southwards at 1 tile per 8 frames,Equivalent to 3.75 tiles per second. This should be taken as the standard speed.
000E,WalkNormalWest,WalkWest8,Event faces left and moves westwards at 1 tile per 8 frames,Equivalent to 3.75 tiles per second. This should be taken as the standard speed.
000F,WalkNormalEast,WalkEast8,Event faces right and moves eastwards at 1 tile per 8 frames,Equivalent to 3.75 tiles per second. This should be taken as the standard speed.
0010,WalkFastNorth,WalkNorth4,Event faces up and moves northwards at 1 tile per 4 frames,Equivalent to 7.5 tiles per second.
0011,WalkFastSouth,WalkSouth4,Event faces down and moves southwards at 1 tile per 4 frames,Equivalent to 7.5 tiles per second.
0012,WalkFastWest,WalkWest4,Event faces left and moves westwards at 1 tile per 4 frames,Equivalent to 7.5 tiles per second.
0013,WalkFastEast,WalkEast4,Event faces right and moves eastwards at 1 tile per 4 frames,Equivalent to 7.5 tiles per second.
0014,WalkFasterNorth,WalkNorth2,Event faces up and moves northwards at 1 tile per 2 frames,Equivalent to 15 tiles per second.
0015,WalkFasterSouth,WalkSouth2,Event faces down and moves southwards at 1 tile per 2 frames,Equivalent to 15 tiles per second.
0016,WalkFasterWest,WalkWest2,Event faces left and moves westwards at 1 tile per 2 frames,Equivalent to 15 tiles per second.
