,Decomp Names,DSPRE Names,Parameters,Function
0000,snop,Nop,,Nothing 
0001,dummy,Dummy,,Nothing 
0002,end,End,,End script execution 
0003,wait,WaitTime,u16: Time; Var: Countdown Variable,"Stop script execution for Time frames, storing the remaining time in the Countdown Variable "
0004,loadbyte,RegValueSet,u8: Script Register; u8: Value,Assigns Value to Script Register value 
0005,loadword,RegDataSet,u8: Script Register; u32: Value,Assigns Value to Script Register value 
0006,loadbytefromaddr,RegAdrsSet,u8: Script Register; u32: Address,Assigns data in Address offset to Script Register value 
0007,writebytetoaddr,AdrsValueSet,u32: Address; u8: Value,Assigns Value to the Address offset 
0008,setptrbyte,AdrsRegSet,u32: Address; u8: Script Register,Assigns Script Register value to the Address offset 
0009,copylocal,RegRegSet,u8: Script Register 1; u8: Script Register 2,Assigns Script Register 2 value to Script Register 1 value 
000A,copybyte,AdrsAdrsSet,u32: Address 1; u32: Address 2,Assigns data in Address 2 to the Address 1 offset 
000B,compare_local_to_local,CompareRegs,u8: Script Register; u8: Script Register,Compares two Script Register 
000C,compare_local_to_value,CompareRegValue,u8: Script Register; u8: Value,Compares Script Register value with Value 
000D,compare_local_to_addr,CompareRegAdrs,u8: Script Register; u32: Address,Compares Script Register value with data in Address 
000E,compare_addr_to_local,CompareAdrsReg,u32: Address; u8: Script Register,Compares data in Address with Script Register value 
000F,compare_addr_to_value,CompareAdrsValue,u32: Address; u8: Value,Compares data in Address with Value 
0010,compare_addr_to_addr,CompareAdrsAdrs,u32: Address 1; u32: Address 2,Compares data in Address 1 with data in Address 2 
0011,compare_var_to_value,CompareVarValue,Var: Variable; u16: Value,Compares Variable value with Value 
0012,compare_var_to_var,CompareVars,Var: Variable 1; Var: Variable 2,Compares Variable 1 value with Variable 2 value 
0013,runscript,ParallelCommonScript,u16: ???,??? 
0014,callstd,CommonScript,u16: Global Script ID,Calls Global Script ID script 
0015,endstd,LocalScript,,Returns to the invoking script/function after a Common Script 
0016,goto,Jump,u32: Relative Jump,"Jumps to a function, Relative Jump bytes forward or backward "
0017,objectgoto,JumpIfObjID,u8: Event ID; u32: Relative Jump,"Jumps to a function, Relative Jump bytes forward or backward, if invoking event has Event ID as ID "
0018,bggoto,JumpIfBgID,u8: ???; u32: Relative Jump,??? 
0019,directiongoto,JumpIfPlayerDir,u8: Player Direction; u32: Relative Jump,"Jumps to a function, Relative Jump bytes forward or backward, if player is looking in Player Direction "
001A,call,Call,u32: Relative Jump,"Calls a function, Relative Jump bytes forward or backward "
001B,return,Return,,Returns to the invoking script/function after a Call 
001C,goto_if,JumpIf,u8: Condition; u32: Relative Jump,"If Condition in the condition table, jumps to a function "
001D,call_if,CallIf,u8: Condition; u32: Relative Jump,"If Condition in the condition table, calls a function "
001E,setflag,SetFlag,u16: Flag,Sets Flag to 1 
001F,clearflag,ClearFlag,u16: Flag,Sets Flag to 0 
0020,checkflag,CheckFlag,u16: Flag,Checks if Flag is set 
0021,setflagvar,SetFlagFromVar,Var: Flag,Sets the flag whose ID is stored in Flag 
0022,clearflagvar,ClearFlagFromVar,Var: Flag,Clears the flag whose ID is stored in Flag 
0023,checkflagvar,FlagStatusToVar,Var: Flag; Var: Variable,Checks if Flag is set and store the result in Variable 
0024,settrainerflag,SetTrainerFlag,Flex: Trainer ID,"Sets the flag of Trainer ID, so marks it as beaten trainer "
0025,cleartrainerflag,ClearTrainerFlag,Flex: Trainer ID,"Clears the flag of Trainer ID, so marks it as unbeaten trainer "
0026,checktrainerflag,CheckTrainerFlag,Flex: Trainer ID,Checks if Trainer ID has been beaten 
0027,addvar,IncrementVar,Var: Variable; Flex: Operand,Stores the operation Variable + Operand in Variable 
0028,subvar,DecrementVar,Var: Variable; Flex: Operand,Stores the operation Variable - Operand in Variable 
0029,setvar,SetVar,Var: Variable; u16: Value,Stores Value in Variable 
002A,copyvar,SetVarFromVariable,Var: Variable 1; Var: Variable 2,Assigns value of Variable 2 to Variable 1 
002B,setorcopyvar,SetVarFromFlexible,Var: Variable; Flex: Flexible Value,Stores Flexible Value (or its value if Variable) in Variable 
002C,non_npc_msg,MessageAll,u8: Text Slot,"Display line Text Slot from the text file, all at once "
002D,npc_msg,Message,u8: Text Slot,Display line Text Slot from the text file 
002E,non_npc_msg_var,MessageFlex,Flex: Text Slot,Display line Text Slot from the text file 
002F,npc_msg_var,MessageNoSkip,Flex: Text Slot,??? 
0030,scrcmd_048,CMD_48,u8: Text Slot,??? 
0031,wait_button,WaitAB,,Waits for button A or button B to be pressed 
0032,wait_button_or_walk_away,WaitButton,,Waits for a button to be pressed 
0033,wait_button_or_dpad,WaitABPad,,"Waits for button A, button B or pad buttons to be pressed "
0034,openmsg,OpenMessage,,??? 
0035,closemsg,CloseMessage,,Closes message box 
0036,holdmsg,FreezeMessage,,??? 
0037,direction_signpost,SetIconBoard,u8: Text Slot; u8: Type; u16: Icon; u16: ???,"Prepares an icon board message box displaying Text Slot message, of Type type, and with Icon image if chosen type supports it "
0038,scrcmd_055,SetTextBoard,u8: Type; u16: Icon,"Prepares a text board message box of Type type, and with Icon image if chosen type supports it "
0039,scrcmd_057,ShowBoard,u8: Process,Triggers different Process processes for the board 
003A,scrcmd_058,WaitBoard,,Waits the board last process to end 
003B,trainer_tips,BoardMessage,u8: Text Slot; u16: Variable,"Displays Text Slot message in the current text box, stores the current text box status in Variable "
003C,scrcmd_060,CloseBoard,Var: Variable,"Returns 1 to Variable if the player has pressed a button so the board must close, 0 otherwise "
003D,scrcmd_061,Menu,,
003E,scrcmd_062,CMD_62,u8: ???; u8: ???; u8: ???; u8: ???; u8: ???; u8: ???,
003F,yesno,YesNoBox,Var: Variable,Opens a Yes-No dialog and stores user response in Variable 
0040,scrcmd_064,MultiStandardText,u8: X; u8: Y; u8: Cursor; u8: Cancel; Var: Selection,"Prepares a multiple selection menu at X and Y screen position, with Cursor default selected option and possibility of cancelling depending on Cancel, with text bank #321, returns selected slot ID in Selection "
0041,scrcmd_065,MultiLocalText,u8: X; u8: Y; u8: Cursor; u8: Cancel; Var: Selection,"Prepares a multiple selection menu at X and Y screen position, with Cursor default selected option and possibility of cancelling depending on Cancel, with local texts, returns selected slot ID in Selection "
0042,scrcmd_066,AddMultiOption,u8: Text Slot; u8: Multi Slot,Adds an option with Multi Slot ID showing Text Slot text 
0043,scrcmd_067,ShowMulti,,Shows the prepared multi in screen 
0044,scrcmd_068,ListStandardText,u8: X; u8: Y; u8: Cursor; u8: Cancel; Var: Selection,"Prepares a multiple selection list at X and Y screen position, with Cursor default selected option and possibility of cancelling depending on Cancel, with text bank #321, returns selected slot ID in Selection "
0045,scrcmd_069,ListLocalText,u8: X; u8: Y; u8: Cursor; u8: Cancel; Var: Selection,"Prepares a multiple selection list at X and Y screen position, with Cursor default selected option and possibility of cancelling depending on Cancel, with local texts, returns selected slot ID in Selection "
0046,scrcmd_070,AddListOption,Flex: Option MSG; Flex: Highlight MSG; Flex: List Slot,"Adds a new option to the list, with List Slot ID and showing text line Option MSG. It also displays text line Highlight MSG when that option is highlighted. "
0047,scrcmd_071,ShowList,,Shows the prepared list in screen 
0048,scrcmd_072,MultiColumn,u8: Columns,Splits the multi window in Columns different columns 
0049,play_se,PlayFanfare,Flex: Sound,Plays Sound 
004A,stop_se,StopFanfare,Flex: Sound,Stops Sound 
004B,wait_se,WaitFanfare,Flex: Sound,Waits Sound to finish 
004C,play_cry,PlayCry,Flex: Pokémon; Flex: Unused,Plays a Pokémon cry 
004D,wait_cry,WaitCry,,Waits the current cry to finish 
004E,play_fanfare,PlaySound,u16: Sound,"Pauses current music, then Plays Sound "
004F,wait_fanfare,WaitSound,,"Waits for Sound to finish, then resumes music "
0050,play_bgm,PlayMusic,u16: Music,Plays Music 
0051,stop_bgm,StopMusic,u16: Unused,Stops current music 
0052,reset_bgm,PlayDefaultMusic,,Plays map default music 
0053,scrcmd_083,SetMusic,u16: Music,??? 
0054,fade_out_bgm,FadeOutMusic,u16: Volume; u16: Time,Fades out the current music to Volume in Time frames 
0055,fade_in_bgm,FadeInMusic,u16: Time,Fades in the current music to normal volume in Time frames 
0056,scrcmd_086,SetMusicPauseStatus,u8: SSEQ Player ID; u8: Status,??? 
0057,temp_bgm,TempMusic,u16: Music,??? 
0058,scrcmd_088,SetBGMFlag,u8: ???,??? 
0059,chatot_has_cry,CheckChatotCry,Var: Variable,"Checks if Chatot has custom sound, stores answer in Variable "
005A,chatot_start_recording,StartChatotCry,Var: Variable,"Starts Chatot microphone record, stores answer in Variable "
