Script #,Script File,Used As,Headers Using,Text Archives,Script Count,Function Count,Action Count,Message Refs,Item Refs,Trainer Refs,Flag Refs,Top Commands,Total Commands,File Exists
0,0000,Script File; Level Script File,-,0,3,2,0,0; 9; 12,,,,End(5); Message(4); CloseMessage(4); ReleaseAll(4); LockAll(3); MecScript(2); CompareVarValue(2); JumpIf(2); CMD_151(2); CMD_257(2),40,Y
5,0005,Script File,WELL CAVE F3,47,3,28,0,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 13; 14; 15; 16; 17; 18,,,357; 393; 610,JumpIf(35); CompareVarValue(29); Message(22); End(18); CloseMessage(16); Jump(13); WaitButton(12); ReleaseAll(12); FadeScreen(10); WaitFadeScreen(10),271,Y
6,0006,Script File,RADE F2 LIBRY; D02FS0101,48; 62,2,0,0,0; 1,,,394,PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); ReleaseAll(2); End(2); WaitButton(1); CloseMessage(1); SetFlag(1); FreezeMessage(1),19,Y
7,0007,Script File,NAVEL WEST 04,49,1,4,3,0; 1,,,227; 604; 736,End(6); CommonScript(5); Movement(4); CompareVarValue(4); JumpIf(4); SetFlag(4); SetVar(4); WaitMovement(3); TextPlayerName(3); TextRivalName(3),71,Y
8,0008,Script File,AZELF DEN,144,1,9,0,,,,2741,SetWarpPosition(8); Jump(7); JumpIf(5); CompareVarValue(4); End(3); GetTimePeriod(2); CheckFlag(1); GetDayOfWeek(1),31,Y
9,0009,Script File,D HQ1 F1,50,3,0,0,1,,,,End(3); SetTextBoard(1); ShowBoard(1); WaitBoard(1); BoardMessage(1); CommonScript(1); PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1),15,Y
10,0010,Script File,D HQ1 F2,51,6,15,46,2; 3; 4; 5,0x8004,,2741; 622; 664,End(58); Movement(46); WalkOnSpotSouth8(40); WalkOnSpotEast8(37); WalkOnSpotWest8(37); WalkOnSpotNorth8(35); WalkEast4(17); RemoveOW(13); CompareVarValue(11); JumpIf(11),476,Y
11,0011,Script File,D HQ1 F3,51,2,4,0,,,,164; 363; 773,End(5); SetFlag(3); CompareVarValue(3); JumpIf(3); ReleaseAll(3); ClearFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),32,Y
12,0012,Script File,ICE PATH C1,52,2,0,0,,,,,End(2),2,Y
13,0013,Script File,UXIE DEN,144,2,8,5,,,,393; 638,End(13); JumpIf(9); CompareVarValue(8); GetCommonMessageArchive(7); MessageFromArchive(7); Movement(7); CloseMessage(6); FadeScreen(6); WaitFadeScreen(6); WalkNorth8(6),137,Y
