Trainer#,TrainerID,TrainerName,Location,OWID,TrainerClass,Level,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6,Implemented,Battle Type,Category
1,1,Joey,Route 2 Area 1,317,TRAINERCLASS_YOUNGSTER,2,RATTATA,,,,,,TRUE,,GENERIC
2,2,Marty,Route 2 Area 1,12,TRAINERCLASS_PKMN_BREEDER_F,3,ZIGZAGOON,CLEFFA,,,,,TRUE,,GENERIC
3,3,Avery,Route 2 Area 1,9,TRAINERCLASS_PKMN_BREEDER_M,4,BUNNELBY,WOOPER,,,,,TRUE,,GENERIC
4,4,Ellie,Navel Cave West 01,7,TRAINERCLASS_BATTLE_GIRL,5,SENTRET,LOTAD,CATERPIE,,,,TRUE,,GENERIC
5,5,Blue,Navel Cave West 02,375,TRAINERCLASS_LEADER_BLUE,8,NIDORAN_M,GASTLY,SQUIRTLE,,,,,,RIVAL BLUE 1
6,6,Colton,Navel Cave West 02,333,TRAINERCLASS_HIKER,5,SNOM,ZUBAT,,,,,TRUE,,GENERIC
7,7,Cooper,Route 3 Area 1,317,TRAINERCLASS_YOUNGSTER,2,PATRAT,,,,,,TRUE,,GENERIC
8,8,Jonathan,Route 3 Area 1,12,TRAINERCLASS_PKMN_BREEDER_F,3,WOOLOO,PICHU,,,,,TRUE,,GENERIC
9,9,Santiago,Route 3 Area 1,45,TRAINERCLASS_JOGGER,4,BIDOOF,SLUGMA,,,,,TRUE,,GENERIC
10,10,Hunter,Navel Cave East 01,333,TRAINERCLASS_HIKER,5,SKWOVET,SEEDOT,WEEDLE,,,,TRUE,,GENERIC
11,11,Red,Blazing Forest,295,TRAINERCLASS_PKMN_TRAINER_LUCAS_PT,8,PIDGEY,PIKACHU,CHARMANDER,,,,,,RIVAL Red 1
12,12,Christian,Navel Cave East 01,344,TRAINERCLASS_BLACK_BELT,5,TYROGUE,NOIBAT,,,,,TRUE,,GENERIC
13,13,Green,Lobart Forest 01,296,TRAINERCLASS_PKMN_TRAINER_DAWN_PT,8,NIDORAN_F,ABRA,BULBASAUR,,,,,,RIVAL Green 1
14,14,Grayson,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,6,WURMPLE,VENONAT,,,,,TRUE,,GENERIC
15,15,Lyra,Lobart Forest 01,296,TRAINERCLASS_PKMN_TRAINER_DAWN_PT,8,AZURILL,MAREEP,CHIKORITA,,,,,Double Battle,RIVAL Lyra 1
16,16,Elio,Lobart Forest 01,295,TRAINERCLASS_PKMN_TRAINER_LUCAS_PT,8,GRUBBIN,ROCKRUFF,ROWLET,,,,,Double Battle,RIVAL Elio 1
17,17,Christopher,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,6,CATERPIE,WEEDLE,,,,,TRUE,,GENERIC
18,18,Bella,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,6,SURSKIT,PINECO,RATTATA,,,,TRUE,,GENERIC
19,19,Aaliyah,Lobart Forest 01,141,TRAINERCLASS_AROMA_LADY,6,BOUNSWEET,SURSKIT,,,,,TRUE,,GENERIC
20,20,Sofia,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,6,CATERPIE,NINCADA,TAROUNTULE,,,,TRUE,,GENERIC
21,21,Owen,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,6,COMBEE,NINCADA,BUDEW,,,,TRUE,,GENERIC
22,22,Victor,Lobart Forest 01,295,TRAINERCLASS_PKMN_TRAINER_LUCAS_PT,8,BLIPBUG,APPLIN,SCORBUNNY,,,,,,RIVAL Victor 1
23,23,Angel,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,7,KAKUNA,CASCOON,,,,,TRUE,,GENERIC
24,24,Olivia,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,7,KRICKETOT,DEWPIDER,LEDYBA,,,,TRUE,,GENERIC
25,25,Madelyn,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,7,WURMPLE,SCATTERBUG,,,,,TRUE,,GENERIC
26,26,Dawn,Lobart Forest 01,296,TRAINERCLASS_PKMN_TRAINER_DAWN_PT,8,RALTS,COMBEE,PIPLUP,,,,,Double Battle,RIVAL Dawn 1
27,27,May,Lobart Forest 01,296,TRAINERCLASS_PKMN_TRAINER_DAWN_PT,8,RALTS,BUDEW,TORCHIC,,,,,Double Battle,RIVAL May 1
28,28,Sophia,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,7,KARRABLAST,SHELMET,FOONGUS,,,,TRUE,,GENERIC
29,29,Aila,Lobart Forest 01,39,TRAINERCLASS_PKMN_RANGER_M,8,CLEFFA,BLIPBUG,AZURILL,,,,,,ALLIANCE 2
30,30,Brenna,Lobart Forest 01,40,TRAINERCLASS_PKMN_RANGER_F,8,MILCERY,SUNKERN,AZURILL,,,,,,ALLIANCE 1
31,31,Cassian,Lobart Forest 01,39,TRAINERCLASS_PKMN_RANGER_M,8,TOGEPI,KRICKETOT,MAKUHITA,,,,,,ALLIANCE 4
32,32,Daria,ALLIANCE HQ 1 F2,40,TRAINERCLASS_PKMN_RANGER_F,8,RIOLU,TINKATINK,RALTS,,,,,,ALLIANCE 3
33,33,Isla,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,7,HOPPIP,VENIPEDE,WIMPOD,,,,TRUE,,GENERIC
34,34,Rosa,Lobart Forest 01,296,TRAINERCLASS_PKMN_TRAINER_DAWN_PT,8,SEWADDLE,TYMPOLE,TEPIG,,,,,,RIVAL Rosa 1
35,35,Hazel,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,7,TAROUNTULA,SEWADDLE,DWEBBLE,,,,TRUE,,GENERIC
36,36,Luke,Lobart Forest 01,141,TRAINERCLASS_AROMA_LADY,7,SUNKERN,FOONGUS,BURMY,TAROUNTULA,,,TRUE,,GENERIC
37,37,Oliver,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,7,BURMY,SPINARAK,JOLTIK,,,,TRUE,,GENERIC
38,38,Caleb,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,7,WEEDLE,PARAS,SPINARAK,WURMPLE,,,TRUE,,GENERIC
39,39,Claire,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,7,METAPOD,SILCOON,,,,,TRUE,,GENERIC
40,40,Gabriel,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,7,PINECO,GRUBBIN,MORELULL,,,,TRUE,,GENERIC
