Trainer 100,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,WIGLETT,SANDSHREW,NONE,NONE,NONE,NONE
Level,13,13,,,,
Ability,GOOEY,SNOW_CLOAK,,,,
Held Item,NONE,NONE,,,,
Move 1,MUD_SLAP,ICE_BALL,,,,
Move 2,SAND_ATTACK,RAPID_SPIN,,,,
Move 3,AQUA_JET,SCRATCH,,,,
Move 4,WATER_GUN,FURY_CUTTER,,,,
Optional Move 1,WRAP,DEFENSE_CURL,,,,
Optional Move 2,TOXIC,POISON_STING,,,,
Optional Move 3,HIDDEN_POWER,SAND_ATTACK,,,,
Optional Move 4,ICE_BEAM,ROLLOUT,,,,
Optional Move 5,BLIZZARD,FLAIL,,,,
Optional Move 6,PROTECT,SAFEGUARD,,,,
Optional Move 7,RAIN_DANCE,COUNTER,,,,
Optional Move 8,FRUSTRATION,ROCK_SLIDE,,,,
Optional Move 9,RETURN,METAL_CLAW,,,,
Optional Move 10,DOUBLE_TEAM,CRUSH_CLAW,,,,
Optional Move 11,SANDSTORM,NIGHT_SLASH,,,,
Optional Move 12,FACADE,MUD_SHOT,,,,
