Trainer 154,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,VULPIX,CHARCADET,CLEFAIRY,VOLTORB,MAWILE,NONE
Level,15,15,15,15,15,
Ability,SNOW_CLOAK,FLASH_FIRE,CUTE_CHARM,SOUNDPROOF,HUGE_POWER,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,TAIL_WHIP,LEER,STORED_POWER,CHARGE,IRON_HEAD,
Move 2,ICY_WIND,EMBER,CHARM,THUNDER_SHOCK,PLAY_ROUGH,
Move 3,POWDER_SNOW,FIRE_SPIN,DISARMING_VOICE,TACKLE,FAIRY_WIND,
Move 4,ICE_SHARD,CLEAR_SMOG,POUND,BULLET_SEED,BITE,
Optional Move 1,EMBER,ASTONISH,SING,SONIC_BOOM,ASTONISH,
Optional Move 2,DISABLE,TOXIC,SWEET_KISS,EERIE_IMPULSE,GROWL,
Optional Move 3,ROAR,HIDDEN_POWER,ENCORE,SPARK,TAUNT,
Optional Move 4,QUICK_ATTACK,SUNNY_DAY,SPLASH,ROLLOUT,BATON_PASS,
Optional Move 5,BABY_DOLL_EYES,PROTECT,COPYCAT,SCREECH,SWORDS_DANCE,
Optional Move 6,SPITE,FRUSTRATION,GROWL,TOXIC,FALSE_SWIPE,
Optional Move 7,HYPNOSIS,RETURN,DEFENSE_CURL,HIDDEN_POWER,POISON_FANG,
Optional Move 8,FLAIL,DOUBLE_TEAM,SPOTLIGHT,TAUNT,PSYCH_UP,
Optional Move 9,HOWL,FLAMETHROWER,DOUBLE_SLAP,PROTECT,ANCIENT_POWER,
Optional Move 10,PSYCH_UP,FIRE_BLAST,MINIMIZE,RAIN_DANCE,TICKLE,
Optional Move 11,HEAT_WAVE,FACADE,FOCUS_PUNCH,FRUSTRATION,ICE_FANG,
Optional Move 12,FLARE_BLITZ,SECRET_POWER,WATER_PULSE,THUNDERBOLT,FIRE_FANG,
