Trainer 157,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,VENONAT,NOIBAT,ROOKIDEE,MEOWTH,FOMANTIS,NONE
Level,16,16,16,16,16,
Ability,COMPOUND_EYES,FRISK,KEEN_EYE,PICKUP,LEAF_GUARD,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,DISABLE,ABSORB,HONE_CLAWS,GROWL,INGRAIN,
Move 2,TACKLE,DOUBLE_TEAM,PLUCK,BITE,RAZOR_LEAF,
Move 3,CONFUSION,WING_ATTACK,PECK,FAKE_OUT,LEAFAGE,
Move 4,FORESIGHT,GUST,LEER,SCRATCH,FURY_CUTTER,
Optional Move 1,SUPERSONIC,TACKLE,POWER_TRIP,SPITE,GROWTH,
Optional Move 2,POISON_POWDER,SCREECH,FURY_ATTACK,CHARM,TOXIC,
Optional Move 3,BATON_PASS,SUPERSONIC,TOXIC,HYPNOSIS,BULLET_SEED,
Optional Move 4,SCREECH,BITE,HIDDEN_POWER,AMNESIA,HIDDEN_POWER,
Optional Move 5,GIGA_DRAIN,DRAGON_CLAW,PROTECT,PSYCH_UP,PROTECT,
Optional Move 6,AGILITY,TOXIC,FRUSTRATION,ASSIST,GIGA_DRAIN,
Optional Move 7,MORNING_SUN,HIDDEN_POWER,RETURN,ODOR_SLEUTH,SAFEGUARD,
Optional Move 8,TOXIC_SPIKES,SUNNY_DAY,DOUBLE_TEAM,FLAIL,FRUSTRATION,
Optional Move 9,BUG_BITE,TAUNT,AERIAL_ACE,LAST_RESORT,RETURN,
Optional Move 10,TOXIC,PROTECT,FACADE,PUNISHMENT,DOUBLE_TEAM,
Optional Move 11,HIDDEN_POWER,FRUSTRATION,SECRET_POWER,TAIL_WHIP,FACADE,
Optional Move 12,SUNNY_DAY,SOLAR_BEAM,REST,WATER_PULSE,SECRET_POWER,
