Trainer 185,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,TANDEMAUS,GEODUDE,MIMEJR,REMORAID,NONE,NONE
Level,18,18,18,18,,
Ability,RUN_AWAY,MAGNET_PULL,SOUNDPROOF,HUSTLE,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,HELPING_HAND,SPARK,CONFUSION,AURORA_BEAM,,
Move 2,POUND,CHARGE,BARRIER,FOCUS_ENERGY,,
Move 3,DOUBLE_HIT,ROCK_THROW,MEDITATE,WATER_PULSE,,
Move 4,ECHOED_VOICE,SMACK_DOWN,COPYCAT,PSYBEAM,,
Optional Move 1,BABY_DOLL_EYES,TACKLE,POUND,WATER_GUN,,
Optional Move 2,SUPER_FANG,DEFENSE_CURL,TICKLE,HELPING_HAND,,
Optional Move 3,BULLET_SEED,MUD_SPORT,DOUBLE_SLAP,LOCK_ON,,
Optional Move 4,WATER_PULSE,ROCK_POLISH,ENCORE,OCTAZOOKA,,
Optional Move 5,TOXIC,ROLLOUT,FUTURE_SIGHT,SUPERSONIC,,
Optional Move 6,HIDDEN_POWER,MAGNITUDE,HYPNOSIS,HAZE,,
Optional Move 7,SUNNY_DAY,MEGA_PUNCH,PSYCH_UP,SCREECH,,
Optional Move 8,TAUNT,ROCK_SLIDE,FAKE_OUT,THUNDER_WAVE,,
Optional Move 9,PROTECT,BLOCK,CONFUSE_RAY,ROCK_BLAST,,
Optional Move 10,RAIN_DANCE,HAMMER_ARM,WAKE_UP_SLAP,SNORE,,
Optional Move 11,FRUSTRATION,FLAIL,HEALING_WISH,FLAIL,,
Optional Move 12,RETURN,CURSE,CHARM,WATER_SPOUT,,
