Trainer 193,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,VULPIX,SPRITZEE,CUTIEFLY,HORSEA,GOTHITA,NONE
Level,18,18,18,18,18,
Ability,SNOW_CLOAK,HEALER,HONEY_GATHER,SWIFT_SWIM,FRISK,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,TAIL_WHIP,FAIRY_WIND,ABSORB,LEER,PLAY_NICE,
Move 2,ICY_WIND,DRAINING_KISS,STRUGGLE_BUG,WATER_GUN,PSYBEAM,
Move 3,PAYBACK,ECHOED_VOICE,SILVER_WIND,TWISTER,CONFUSION,
Move 4,POWDER_SNOW,SWEET_SCENT,DRAINING_KISS,BUBBLE,POUND,
Optional Move 1,EMBER,SWEET_KISS,FAIRY_WIND,SMOKESCREEN,TICKLE,
Optional Move 2,DISABLE,ODOR_SLEUTH,STUN_SPORE,FLAIL,DOUBLE_SLAP,
Optional Move 3,ROAR,AROMATHERAPY,SWEET_SCENT,AURORA_BEAM,CAPTIVATE,
Optional Move 4,QUICK_ATTACK,TOXIC,CALM_MIND,OCTAZOOKA,DARK_PULSE,
Optional Move 5,BABY_DOLL_EYES,HIDDEN_POWER,TOXIC,DISABLE,MEAN_LOOK,
Optional Move 6,SPITE,SUNNY_DAY,HIDDEN_POWER,SPLASH,MIRACLE_EYE,
Optional Move 7,INCINERATE,LIGHT_SCREEN,SUNNY_DAY,DRAGON_RAGE,MIRROR_COAT,
Optional Move 8,CONFUSE_RAY,PROTECT,LIGHT_SCREEN,SIGNAL_BEAM,UPROAR,
Optional Move 9,HYPNOSIS,RAIN_DANCE,PROTECT,RAZOR_WIND,CALM_MIND,
Optional Move 10,FLAIL,FRUSTRATION,SAFEGUARD,MUDDY_WATER,TOXIC,
Optional Move 11,HOWL,THUNDERBOLT,FRUSTRATION,WATER_PULSE,HIDDEN_POWER,
Optional Move 12,PSYCH_UP,RETURN,RETURN,TOXIC,TAUNT,
