Trainer 222,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,FIDOUGH,FLAAFFY,PONYTA,SUNFLORA,TINKATINK,NONE
Level,22,22,22,22,22,
Ability,OWN_TEMPO,STATIC,RUN_AWAY,CHLOROPHYLL,MOLD_BREAKER,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,PLAY_ROUGH,CHARGE,AGILITY,GIGA_DRAIN,COVET,
Move 2,COVET,THUNDER_SHOCK,CONFUSION,INGRAIN,METAL_CLAW,
Move 3,BITE,THUNDER_WAVE,TACKLE,RAZOR_LEAF,ROCK_SMASH,
Move 4,TACKLE,COTTON_SPORE,FAIRY_WIND,MEGA_DRAIN,DRAINING_KISS,
Optional Move 1,GROWL,TACKLE,GROWL,FLOWER_SHIELD,ASTONISH,
Optional Move 2,LICK,GROWL,TAIL_WHIP,ABSORB,FAIRY_WIND,
Optional Move 3,TAIL_WHIP,TAKE_DOWN,EMBER,POUND,BABY_DOLL_EYES,
Optional Move 4,BABY_DOLL_EYES,FOCUS_PUNCH,FLAME_CHARGE,GROWTH,SWEET_KISS,
Optional Move 5,WORK_UP,ROAR,FLAME_WHEEL,GRASS_WHISTLE,TOXIC,
Optional Move 6,TOXIC,TOXIC,THRASH,LEECH_SEED,HIDDEN_POWER,
Optional Move 7,HIDDEN_POWER,HIDDEN_POWER,DOUBLE_KICK,WORRY_SEED,LIGHT_SCREEN,
Optional Move 8,SUNNY_DAY,SUNNY_DAY,HYPNOSIS,TOXIC,PROTECT,
Optional Move 9,PROTECT,PROTECT,CHARM,HIDDEN_POWER,FRUSTRATION,
Optional Move 10,RAIN_DANCE,RAIN_DANCE,DOUBLE_EDGE,HYPER_BEAM,RETURN,
Optional Move 11,FRUSTRATION,SAFEGUARD,HORN_DRILL,LIGHT_SCREEN,DOUBLE_TEAM,
Optional Move 12,RETURN,FRUSTRATION,MORNING_SUN,PROTECT,REFLECT,
