Trainer 243,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,DUGTRIO,KECLEON,SEAKING,DODUO,NONE,NONE
Level,24,24,24,24,,
Ability,SAND_VEIL,COLOR_CHANGE,SWIFT_SWIM,RUN_AWAY,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,TRI_ATTACK,TAIL_WHIP,MEGAHORN,GROWL,,
Move 2,BULLDOZE,THIEF,POISON_JAB,PLUCK,,
Move 3,NIGHT_SLASH,FEINT_ATTACK,HORN_ATTACK,QUICK_ATTACK,,
Move 4,METAL_CLAW,SCRATCH,WATER_PULSE,PECK,,
Optional Move 1,SAND_TOMB,ASTONISH,PECK,RAGE,,
Optional Move 2,SAND_ATTACK,LICK,TAIL_WHIP,FURY_ATTACK,,
Optional Move 3,SCRATCH,BIND,SUPERSONIC,PURSUIT,,
Optional Move 4,GROWL,SHADOW_SNEAK,WATER_SPORT,DOUBLE_HIT,,
Optional Move 5,ASTONISH,FEINT,FLAIL,SUPERSONIC,,
Optional Move 6,ROTOTILLER,FURY_SWIPES,AQUA_RING,HAZE,,
Optional Move 7,MUD_SLAP,PSYBEAM,AGILITY,FEINT_ATTACK,,
Optional Move 8,MAGNITUDE,ANCIENT_POWER,FURY_ATTACK,FLAIL,,
Optional Move 9,SUCKER_PUNCH,DISABLE,TOXIC,MIRROR_MOVE,,
Optional Move 10,TOXIC,MAGIC_COAT,HAIL,BRAVE_BIRD,,
Optional Move 11,HIDDEN_POWER,TRICK,HIDDEN_POWER,TOXIC,,
Optional Move 12,SUNNY_DAY,FAKE_OUT,ICE_BEAM,HIDDEN_POWER,,
