Trainer 313,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,KLANG,DUGTRIO,TINKATUFF,ROTOM,AUDINO,KRICKETUNE
Level,33,33,33,33,33,33
Ability,PLUS,SAND_VEIL,MOLD_BREAKER,LEVITATE,HEALER,SWARM
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,DISCHARGE,IRON_HEAD,FLASH_CANNON,DISCHARGE,LAST_RESORT,X_SCISSOR
Move 2,CHARGE,TRI_ATTACK,COVET,UPROAR,ZEN_HEADBUTT,ABSORB
Move 3,GEAR_GRIND,BULLDOZE,SLAM,OMINOUS_WIND,GROWL,FOCUS_ENERGY
Move 4,VICE_GRIP,ROTOTILLER,BRUTAL_SWING,CHARGE,HYPER_VOICE,SLASH
Optional Move 1,THUNDER_SHOCK,SAND_TOMB,ASTONISH,ASTONISH,POUND,FURY_CUTTER
Optional Move 2,BIND,NIGHT_SLASH,FAIRY_WIND,DOUBLE_TEAM,PLAY_NICE,GROWL
Optional Move 3,CHARGE_BEAM,SAND_ATTACK,BABY_DOLL_EYES,TRICK,MISTY_TERRAIN,BIDE
Optional Move 4,AUTOTOMIZE,SCRATCH,METAL_CLAW,THUNDER_WAVE,HELPING_HAND,SING
Optional Move 5,METAL_SOUND,GROWL,ROCK_SMASH,THUNDER_SHOCK,BABY_DOLL_EYES,TOXIC
Optional Move 6,SCREECH,ASTONISH,DRAINING_KISS,CONFUSE_RAY,DISARMING_VOICE,HIDDEN_POWER
Optional Move 7,TOXIC,MUD_SLAP,SWEET_KISS,SHOCK_WAVE,REFRESH,SUNNY_DAY
Optional Move 8,HIDDEN_POWER,MAGNITUDE,TOXIC,ELECTRO_BALL,DOUBLE_SLAP,HYPER_BEAM
Optional Move 9,PROTECT,SUCKER_PUNCH,HIDDEN_POWER,TOXIC,ATTRACT,PROTECT
Optional Move 10,FRUSTRATION,MUD_BOMB,LIGHT_SCREEN,HIDDEN_POWER,LIFE_DEW,RAIN_DANCE
Optional Move 11,THUNDERBOLT,SANDSTORM,PROTECT,SUNNY_DAY,SECRET_POWER,GIGA_DRAIN
Optional Move 12,RETURN,SLASH,FRUSTRATION,LIGHT_SCREEN,TAKE_DOWN,FRUSTRATION
