Trainer 364,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,ZORUA,MURKROW,CETODDLE,TOEDSCOOL,NONE,NONE
Level,32,32,32,32,,
Ability,ILLUSION,INSOMNIA,THICK_FAT,MYCELIUM_MIGHT,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,KNOCK_OFF,TAUNT,BOUNCE,SEED_BOMB,,
Move 2,HONE_CLAWS,WING_ATTACK,GROWL,MUD_SHOT,,
Move 3,AGILITY,ASSURANCE,AVALANCHE,SCREECH,,
Move 4,SHADOW_SNEAK,PURSUIT,ICE_SHARD,HEX,,
Optional Move 1,SCRATCH,PECK,POWDER_SNOW,MUD_SLAP,,
Optional Move 2,LEER,ASTONISH,TACKLE,WRAP,,
Optional Move 3,PURSUIT,HAZE,ECHOED_VOICE,ABSORB,,
Optional Move 4,FURY_SWIPES,NIGHT_SHADE,REST,POISON_POWDER,,
Optional Move 5,TORMENT,WHIRLWIND,TAKE_DOWN,STUN_SPORE,,
Optional Move 6,FEINT_ATTACK,DRILL_PECK,FLAIL,SUPERSONIC,,
Optional Move 7,SCARY_FACE,MIRROR_MOVE,WATER_PULSE,TACKLE,,
Optional Move 8,FAKE_TEARS,SKY_ATTACK,TOXIC,MEGA_DRAIN,,
Optional Move 9,TAUNT,CONFUSE_RAY,HIDDEN_POWER,TOXIC,,
Optional Move 10,CAPTIVATE,FEATHER_DANCE,ICE_BEAM,BULLET_SEED,,
Optional Move 11,COUNTER,PERISH_SONG,HYPER_BEAM,HIDDEN_POWER,,
Optional Move 12,DARK_PULSE,PSYCHO_SHIFT,PROTECT,LIGHT_SCREEN,,
