Trainer 366,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,FERROTHORN,PERRSERKER,PANGORO,SHIFTRY,QWILFISH,BEEDRILL
Level,32,32,32,32,32,32
Ability,IRON_BARBS,BATTLE_ARMOR,IRON_FIST,CHLOROPHYLL,POISON_POINT,ADAPTABILITY
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,POWER_WHIP,IRON_HEAD,BULLET_PUNCH,LEAF_BLADE,BRINE,ASSURANCE
Move 2,ROCK_CLIMB,IRON_DEFENSE,LOW_SWEEP,HURRICANE,HARDEN,VENOSHOCK
Move 3,IRON_DEFENSE,METAL_CLAW,NIGHT_SLASH,NASTY_PLOT,BITE,PURSUIT
Move 4,MIRROR_SHOT,FAKE_OUT,VITAL_THROW,SUCKER_PUNCH,BARB_BARRAGE,TWINEEDLE
Optional Move 1,TACKLE,METAL_BURST,TACKLE,LEAF_TORNADO,POISON_STING,FURY_ATTACK
Optional Move 2,HARDEN,GROWL,LEER,RAZOR_LEAF,TACKLE,RAGE
Optional Move 3,METAL_CLAW,HONE_CLAWS,ARM_THRUST,AIR_CUTTER,FELL_STINGER,FOCUS_ENERGY
Optional Move 4,PIN_MISSILE,SCRATCH,TAUNT,TORMENT,HYDRO_PUMP,TOXIC_SPIKES
Optional Move 5,ROLLOUT,PAY_DAY,HAMMER_ARM,FAKE_OUT,DESTINY_BOND,PIN_MISSILE
Optional Move 6,CURSE,TAUNT,ENTRAINMENT,SWAGGER,WATER_GUN,TOXIC
Optional Move 7,INGRAIN,SWAGGER,WORK_UP,WHIRLWIND,SPIKES,HIDDEN_POWER
Optional Move 8,TOXIC,FURY_SWIPES,KARATE_CHOP,SYNTHESIS,MINIMIZE,SUNNY_DAY
Optional Move 9,BULLET_SEED,TOXIC,COMET_PUNCH,EXPLOSION,BUBBLE,HYPER_BEAM
Optional Move 10,HIDDEN_POWER,HIDDEN_POWER,CIRCLE_THROW,GROWTH,ROLLOUT,PROTECT
Optional Move 11,SUNNY_DAY,SUNNY_DAY,SLASH,ROLLOUT,REVENGE,GIGA_DRAIN
Optional Move 12,PROTECT,HYPER_BEAM,FOCUS_PUNCH,MEGA_DRAIN,TOXIC_SPIKES,FRUSTRATION
