Trainer 375,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GROWLITHE,STARAVIA,WHIRLIPEDE,MORGREM,NONE,NONE
Level,34,34,34,34,,
Ability,INTIMIDATE,INTIMIDATE,POISON_POINT,PRANKSTER,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,CRUNCH,DOUBLE_TEAM,BUG_BITE,FALSE_SURRENDER,,
Move 2,HOWL,WING_ATTACK,IRON_DEFENSE,SWAGGER,,
Move 3,FIRE_FANG,AERIAL_ACE,VENOSHOCK,SUCKER_PUNCH,,
Move 4,RETALIATE,QUICK_ATTACK,POISON_TAIL,BITE,,
Optional Move 1,EMBER,TACKLE,POISON_STING,FAKE_OUT,,
Optional Move 2,LEER,GROWL,DEFENSE_CURL,CONFIDE,,
Optional Move 3,BITE,ENDEAVOR,ROLLOUT,FLATTER,,
Optional Move 4,FLAME_WHEEL,WHIRLWIND,PROTECT,FAKE_TEARS,,
Optional Move 5,HELPING_HAND,TAKE_DOWN,SCREECH,ASSURANCE,,
Optional Move 6,AGILITY,TOXIC,PURSUIT,TORMENT,,
Optional Move 7,BODY_SLAM,HIDDEN_POWER,TAKE_DOWN,TOXIC,,
Optional Move 8,SAFEGUARD,SUNNY_DAY,HIDDEN_POWER,HIDDEN_POWER,,
Optional Move 9,THRASH,PROTECT,SUNNY_DAY,TAUNT,,
Optional Move 10,FIRE_SPIN,RAIN_DANCE,FRUSTRATION,LIGHT_SCREEN,,
Optional Move 11,HEAT_WAVE,FRUSTRATION,SOLAR_BEAM,PROTECT,,
Optional Move 12,DOUBLE_EDGE,RETURN,RETURN,FRUSTRATION,,
