Trainer 398,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SNEASEL,MAGCARGO,TOGEDEMARU,MAROWAK,NONE,NONE
Level,37,37,37,37,,
Ability,INNER_FOCUS,MAGMA_ARMOR,IRON_BARBS,ROCK_HEAD,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,POISON_JAB,LAVA_PLUME,ZING_ZAP,STOMPING_TANTRUM,,
Move 2,BRICK_BREAK,EARTH_POWER,ROLLOUT,FOCUS_ENERGY,,
Move 3,METAL_CLAW,FLAME_BURST,CHARGE,BONE_CLUB,,
Move 4,HONE_CLAWS,ROCK_SLIDE,DISCHARGE,HEADBUTT,,
Optional Move 1,LEER,SHELL_SMASH,NUZZLE,MUD_SLAP,,
Optional Move 2,SCRATCH,YAWN,TACKLE,GROWL,,
Optional Move 3,TAUNT,SMOG,THUNDER_SHOCK,TAIL_WHIP,,
Optional Move 4,QUICK_ATTACK,EMBER,DEFENSE_CURL,FALSE_SWIPE,,
Optional Move 5,ICY_WIND,ROCK_THROW,SPARK,LEER,,
Optional Move 6,FURY_SWIPES,HARDEN,MAGNET_RISE,RAGE,,
Optional Move 7,COUNTER,INCINERATE,FELL_STINGER,FLING,,
Optional Move 8,SPITE,CLEAR_SMOG,PIN_MISSILE,BONEMERANG,,
Optional Move 9,FORESIGHT,ANCIENT_POWER,TOXIC,RETALIATE,,
Optional Move 10,REFLECT,AMNESIA,HIDDEN_POWER,FOCUS_PUNCH,,
Optional Move 11,BITE,TOXIC,HYPER_BEAM,TOXIC,,
Optional Move 12,CRUSH_CLAW,HIDDEN_POWER,PROTECT,HIDDEN_POWER,,
