Trainer 400,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CORSOLA,FURRET,PONYTA,DUGTRIO,NONE,NONE
Level,37,37,37,37,,
Ability,WEAK_ARMOR,RUN_AWAY,RUN_AWAY,SAND_VEIL,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,HEX,AGILITY,AGILITY,EARTH_POWER,,
Move 2,SPITE,SLAM,FLAME_WHEEL,TRI_ATTACK,,
Move 3,ANCIENT_POWER,SUCKER_PUNCH,STOMP,BULLDOZE,,
Move 4,CURSE,QUICK_ATTACK,FLAME_CHARGE,IRON_HEAD,,
Optional Move 1,TACKLE,COIL,TACKLE,SAND_TOMB,,
Optional Move 2,HARDEN,SCRATCH,GROWL,NIGHT_SLASH,,
Optional Move 3,BUBBLE,FORESIGHT,TAIL_WHIP,SAND_ATTACK,,
Optional Move 4,WATER_GUN,DEFENSE_CURL,EMBER,SCRATCH,,
Optional Move 5,REFRESH,FURY_SWIPES,FIRE_SPIN,GROWL,,
Optional Move 6,BUBBLE_BEAM,HELPING_HAND,TAKE_DOWN,ASTONISH,,
Optional Move 7,SPIKE_CANNON,FOLLOW_ME,THRASH,ROTOTILLER,,
Optional Move 8,AQUA_RING,REST,DOUBLE_KICK,MUD_SLAP,,
Optional Move 9,LUCKY_CHANT,FOCUS_PUNCH,HYPNOSIS,MAGNITUDE,,
Optional Move 10,ENDURE,WATER_PULSE,CHARM,SUCKER_PUNCH,,
Optional Move 11,BRINE,TOXIC,DOUBLE_EDGE,MUD_BOMB,,
Optional Move 12,IRON_DEFENSE,HIDDEN_POWER,HORN_DRILL,SANDSTORM,,
