Trainer 415,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,PERSIAN,SAWK,SANDSLASH,NONE,NONE,NONE
Level,38,38,38,,,
Ability,LIMBER,STURDY,SNOW_CLOAK,,,
Held Item,NONE,NONE,NONE,,,
Move 1,PLAY_ROUGH,BRICK_BREAK,ICICLE_CRASH,,,
Move 2,GROWL,LOW_SWEEP,BLIZZARD,,,
Move 3,POWER_GEM,RETALIATE,RAPID_SPIN,,,
Move 4,SWIFT,KARATE_CHOP,IRON_HEAD,,,
Optional Move 1,SWITCHEROO,ROCK_SMASH,CRUSH_CLAW,,,
Optional Move 2,FAKE_OUT,LEER,SCRATCH,,,
Optional Move 3,FEINT,BIDE,DEFENSE_CURL,,,
Optional Move 4,SCRATCH,FOCUS_ENERGY,POISON_STING,,,
Optional Move 5,BITE,DOUBLE_KICK,SAND_ATTACK,,,
Optional Move 6,PAY_DAY,QUICK_GUARD,ROLLOUT,,,
Optional Move 7,TAUNT,BULK_UP,FURY_CUTTER,,,
Optional Move 8,FEINT_ATTACK,COUNTER,MAGNITUDE,,,
Optional Move 9,FURY_SWIPES,FOCUS_PUNCH,BULLDOZE,,,
Optional Move 10,SCREECH,TOXIC,SWIFT,,,
Optional Move 11,ASSURANCE,HIDDEN_POWER,FURY_SWIPES,,,
Optional Move 12,WATER_PULSE,SUNNY_DAY,SAND_TOMB,,,
