Trainer 422,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SANDSHREW,SPHEAL,GREEDENT,UNOWN,NONE,NONE
Level,40,40,40,40,,
Ability,SNOW_CLOAK,THICK_FAT,CHEEK_POUCH,LEVITATE,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,IRON_HEAD,SURF,BODY_SLAM,HIDDEN_POWER,,
Move 2,POWDER_SNOW,BODY_SLAM,COVET,HIDDEN_POWER,,
Move 3,RAPID_SPIN,BRINE,BITE,HIDDEN_POWER,,
Move 4,SLASH,AURORA_BEAM,REST,HIDDEN_POWER,,
Optional Move 1,SCRATCH,ROLLOUT,TACKLE,,,
Optional Move 2,DEFENSE_CURL,DEFENSE_CURL,TAIL_WHIP,,,
Optional Move 3,POISON_STING,POWDER_SNOW,STUFF_CHEEKS,,,
Optional Move 4,SAND_ATTACK,GROWL,STOCKPILE,,,
Optional Move 5,ROLLOUT,WATER_GUN,SWALLOW,,,
Optional Move 6,FURY_CUTTER,ICE_BALL,SPIT_UP,,,
Optional Move 7,MAGNITUDE,ENCORE,COUNTER,,,
Optional Move 8,BULLDOZE,REST,TOXIC,,,
Optional Move 9,SWIFT,SNORE,HIDDEN_POWER,,,
Optional Move 10,FURY_SWIPES,WATER_SPORT,SUNNY_DAY,,,
Optional Move 11,SAND_TOMB,STOCKPILE,HYPER_BEAM,,,
Optional Move 12,AGILITY,SWALLOW,PROTECT,,,
