Trainer 432,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,NINETALES,GLALIE,GLACEON,NONE,NONE,NONE
Level,42,42,42,,,
Ability,SNOW_CLOAK,INNER_FOCUS,SNOW_CLOAK,,,
Held Item,NONE,NONE,NONE,,,
Move 1,ICE_BEAM,DOUBLE_TEAM,MIRROR_COAT,,,
Move 2,DAZZLING_GLEAM,FREEZE_DRY,COVET,,,
Move 3,EXTRASENSORY,ICE_FANG,FREEZE_DRY,,,
Move 4,NASTY_PLOT,HEADBUTT,ICE_FANG,,,
Optional Move 1,INCINERATE,SHEER_COLD,ICY_WIND,,,
Optional Move 2,SPITE,POWDER_SNOW,SWIFT,,,
Optional Move 3,CONFUSE_RAY,ASTONISH,COPYCAT,,,
Optional Move 4,WILL_O_WISP,LEER,BATON_PASS,,,
Optional Move 5,FLAMETHROWER,ICE_SHARD,TAKE_DOWN,,,
Optional Move 6,IMPRISON,ICY_WIND,CHARM,,,
Optional Move 7,FIRE_SPIN,PROTECT,DOUBLE_EDGE,,,
Optional Move 8,SAFEGUARD,BITE,HELPING_HAND,,,
Optional Move 9,INFERNO,FROST_BREATH,TACKLE,,,
Optional Move 10,GRUDGE,WATER_PULSE,GROWL,,,
Optional Move 11,FIRE_BLAST,TOXIC,TAIL_WHIP,,,
Optional Move 12,EMBER,HIDDEN_POWER,SAND_ATTACK,,,
