Trainer 445,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,INDEEDEE,LILLIGANT,SLIGGOO,NONE,NONE,NONE
Level,43,43,43,,,
Ability,INNER_FOCUS,CHLOROPHYLL,SAP_SIPPER,,,
Held Item,NONE,NONE,NONE,,,
Move 1,PSYCHIC,SOLAR_BLADE,DRAGON_PULSE,,,
Move 2,CALM_MIND,AXE_KICK,WATER_PULSE,,,
Move 3,PSYBEAM,VICTORY_DANCE,ACID_ARMOR,,,
Move 4,DISARMING_VOICE,MEGA_KICK,DRAGON_BREATH,,,
Optional Move 1,STORED_POWER,PETAL_DANCE,ACID_SPRAY,,,
Optional Move 2,PLAY_NICE,ABSORB,ABSORB,,,
Optional Move 3,ENCORE,AFTER_YOU,TACKLE,,,
Optional Move 4,HELPING_HAND,CHARM,WATER_GUN,,,
Optional Move 5,AFTER_YOU,ENERGY_BALL,BUBBLE,,,
Optional Move 6,AROMATHERAPY,ENTRAINMENT,PROTECT,,,
Optional Move 7,TOXIC,GIGA_DRAIN,BIDE,,,
Optional Move 8,HIDDEN_POWER,GROWTH,FLAIL,,,
Optional Move 9,LIGHT_SCREEN,HELPING_HAND,RAIN_DANCE,,,
Optional Move 10,PROTECT,LEAF_STORM,BODY_SLAM,,,
Optional Move 11,FRUSTRATION,LEECH_SEED,CURSE,,,
Optional Move 12,RETURN,MEGA_DRAIN,TOXIC,,,
