Trainer 466,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MAGMAR,MAROWAK,TORKOAL,CAMERUPT,RAPIDASH,HOUNDOOM
Level,50,50,50,50,50,50
Ability,FLAME_BODY,CURSED_BODY,WHITE_SMOKE,MAGMA_ARMOR,RUN_AWAY,EARLY_BIRD
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,FLAMETHROWER,SHADOW_BONE,HEAT_WAVE,ERUPTION,FIRE_BLAST,FLAMETHROWER
Move 2,SUNNY_DAY,THRASH,BODY_SLAM,ROCK_SLIDE,MEGAHORN,NASTY_PLOT
Move 3,LOW_KICK,STOMPING_TANTRUM,FLAMETHROWER,FOCUS_ENERGY,AGILITY,INFERNO
Move 4,LAVA_PLUME,FLAME_WHEEL,IRON_DEFENSE,EARTHQUAKE,SMART_STRIKE,FOUL_PLAY
Optional Move 1,SMOG,MUD_SLAP,SMOG,FISSURE,FURY_ATTACK,THUNDER_FANG
Optional Move 2,LEER,GROWL,EMBER,GROWL,POISON_JAB,LEER
Optional Move 3,EMBER,TAIL_WHIP,WITHDRAW,TACKLE,TACKLE,EMBER
Optional Move 4,SMOKESCREEN,FALSE_SWIPE,RAPID_SPIN,EMBER,QUICK_ATTACK,HOWL
Optional Move 5,FEINT_ATTACK,BONE_CLUB,SMOKESCREEN,MAGNITUDE,GROWL,SMOG
Optional Move 6,CLEAR_SMOG,HEADBUTT,FIRE_SPIN,FLAME_BURST,TAIL_WHIP,ROAR
Optional Move 7,FIRE_SPIN,LEER,CLEAR_SMOG,AMNESIA,EMBER,BITE
Optional Move 8,FLAME_WHEEL,RAGE,FLAME_WHEEL,LAVA_PLUME,FLAME_CHARGE,ODOR_SLEUTH
Optional Move 9,CONFUSE_RAY,FLING,PROTECT,EARTH_POWER,FLAME_WHEEL,BEAT_UP
Optional Move 10,FLAME_BURST,FOCUS_ENERGY,LAVA_PLUME,CURSE,STOMP,FIRE_FANG
Optional Move 11,SCARY_FACE,BONEMERANG,CURSE,TAKE_DOWN,FIRE_SPIN,FEINT_ATTACK
Optional Move 12,FIRE_PUNCH,RETALIATE,FLAIL,YAWN,TAKE_DOWN,EMBARGO
