Trainer 504,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,TROPIUS,AROMATISSE,SAWK,SANDSLASH,CHIMECHO,STANTLER
Level,51,51,51,51,51,51
Ability,CHLOROPHYLL,HEALER,STURDY,SNOW_CLOAK,LEVITATE,INTIMIDATE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,AIR_SLASH,MOONBLAST,BRICK_BREAK,ICICLE_CRASH,SYNCHRONOISE,ZEN_HEADBUTT
Move 2,BODY_SLAM,PSYCHIC,LOW_SWEEP,BLIZZARD,UPROAR,CALM_MIND
Move 3,SYNTHESIS,DRAINING_KISS,RETALIATE,IRON_HEAD,HEAL_PULSE,STOMP
Move 4,LEAF_STORM,CALM_MIND,BULK_UP,IRON_DEFENSE,ASTONISH,TACKLE
Optional Move 1,LEER,AROMATIC_MIST,ROCK_SMASH,CRUSH_CLAW,HEALING_WISH,LEER
Optional Move 2,GUST,HEAL_PULSE,LEER,SCRATCH,WRAP,ASTONISH
Optional Move 3,GROWTH,FAIRY_WIND,BIDE,DEFENSE_CURL,GROWL,HYPNOSIS
Optional Move 4,RAZOR_LEAF,SWEET_SCENT,FOCUS_ENERGY,POISON_STING,CONFUSION,SAND_ATTACK
Optional Move 5,SWEET_SCENT,SWEET_KISS,DOUBLE_KICK,SAND_ATTACK,YAWN,TAKE_DOWN
Optional Move 6,STOMP,ECHOED_VOICE,KARATE_CHOP,ROLLOUT,PSYWAVE,CONFUSE_RAY
Optional Move 7,MAGICAL_LEAF,ODOR_SLEUTH,QUICK_GUARD,FURY_CUTTER,TAKE_DOWN,ROLE_PLAY
Optional Move 8,WHIRLWIND,AROMATHERAPY,COUNTER,RAPID_SPIN,EXTRASENSORY,IMPRISON
Optional Move 9,LEAF_TORNADO,ATTRACT,ENDURE,MAGNITUDE,HEAL_BELL,SPITE
Optional Move 10,NATURAL_GIFT,FLAIL,REVERSAL,BULLDOZE,SAFEGUARD,DISABLE
Optional Move 11,BESTOW,DISARMING_VOICE,CLOSE_COMBAT,SWIFT,DOUBLE_EDGE,BITE
Optional Move 12,HEADBUTT,MISTY_TERRAIN,FOCUS_PUNCH,FURY_SWIPES,DISABLE,SWAGGER
