Trainer 584,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BRUXISH,GOLEM,MUK,MISDREAVUS,PERRSERKER,NOCTOWL
Level,54,54,54,54,54,54
Ability,DAZZLING,ROCK_HEAD,POISON_TOUCH,LEVITATE,BATTLE_ARMOR,INSOMNIA
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,SYNCHRONOISE,EARTHQUAKE,GUNK_SHOT,SHADOW_BALL,IRON_HEAD,UPROAR
Move 2,CRUNCH,STONE_EDGE,BELCH,SPITE,THRASH,DREAM_EATER
Move 3,PSYCHIC_FANGS,ROCK_POLISH,CRUNCH,HEX,IRON_DEFENSE,MOONBLAST
Move 4,AQUA_TAIL,STEAMROLLER,ACID_ARMOR,PSYBEAM,SLASH,SKY_ATTACK
Optional Move 1,WATER_GUN,HEAVY_SLAM,VENOM_DRENCH,GROWL,METAL_BURST,ECHOED_VOICE
Optional Move 2,ASTONISH,TACKLE,POUND,PSYWAVE,FAKE_OUT,GROWL
Optional Move 3,CONFUSION,DEFENSE_CURL,POISON_GAS,ASTONISH,GROWL,PECK
Optional Move 4,BITE,MUD_SPORT,HARDEN,CONFUSE_RAY,HONE_CLAWS,TACKLE
Optional Move 5,AQUA_JET,MAGNITUDE,MUD_SLAP,MEAN_LOOK,SCRATCH,CONFUSION
Optional Move 6,DISABLE,ROCK_THROW,DISABLE,PAIN_SPLIT,PAY_DAY,REFLECT
Optional Move 7,PSYWAVE,SMACK_DOWN,SLUDGE,PAYBACK,METAL_CLAW,AIR_SLASH
Optional Move 8,SCREECH,BULLDOZE,MUD_BOMB,PERISH_SONG,TAUNT,EXTRASENSORY
Optional Move 9,WATER_PULSE,SELF_DESTRUCT,MINIMIZE,GRUDGE,SWAGGER,TAKE_DOWN
Optional Move 10,CALM_MIND,STEALTH_ROCK,FLING,SCREECH,FURY_SWIPES,ROOST
Optional Move 11,TOXIC,ROCK_BLAST,SLUDGE_BOMB,DESTINY_BOND,SCREECH,HYPNOSIS
Optional Move 12,BULK_UP,EXPLOSION,SLUDGE_WAVE,PSYCH_UP,METAL_SOUND,CALM_MIND
