Trainer 593,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,JUMPLUFF,DARMANITAN,HITMONTOP,DURANT,KOMALA,GLALIE
Level,54,54,54,54,54,54
Ability,CHLOROPHYLL,SHEER_FORCE,INTIMIDATE,SWARM,COMATOSE,REFRIGERATE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,FAIRY_WIND,FIRE_PUNCH,SUCKER_PUNCH,X_SCISSOR,THRASH,CRUNCH
Move 2,MEGA_DRAIN,THRASH,REVENGE,CRUNCH,SLAM,DOUBLE_TEAM
Move 3,U_TURN,SUPERPOWER,ROLLING_KICK,IRON_DEFENSE,SUCKER_PUNCH,FREEZE_DRY
Move 4,ACROBATICS,SWAGGER,FOCUS_ENERGY,IRON_HEAD,STOCKPILE,ICE_FANG
Optional Move 1,ABSORB,HAMMER_ARM,TRIPLE_KICK,FURY_CUTTER,DEFENSE_CURL,SHEER_COLD
Optional Move 2,SPLASH,EMBER,FEINT,SAND_ATTACK,ROLLOUT,POWDER_SNOW
Optional Move 3,SYNTHESIS,TACKLE,RAPID_SPIN,METAL_SOUND,SPIT_UP,ASTONISH
Optional Move 4,TAIL_WHIP,TAUNT,TACKLE,GUILLOTINE,SWALLOW,LEER
Optional Move 5,TACKLE,BITE,HELPING_HAND,VICE_GRIP,RAPID_SPIN,ICE_SHARD
Optional Move 6,POISON_POWDER,ROLLOUT,FAKE_OUT,BITE,YAWN,ICY_WIND
Optional Move 7,STUN_SPORE,INCINERATE,ENDEAVOR,METAL_CLAW,FLAIL,PROTECT
Optional Move 8,SLEEP_POWDER,RAGE,CLOSE_COMBAT,BEAT_UP,PSYCH_UP,BITE
Optional Move 9,BULLET_SEED,FIRE_FANG,DETECT,AGILITY,WOOD_HAMMER,FROST_BREATH
Optional Move 10,LEECH_SEED,HEADBUTT,PURSUIT,BUG_BITE,CALM_MIND,HEADBUTT
Optional Move 11,RAGE_POWDER,FACADE,QUICK_ATTACK,DIG,TOXIC,HAIL
Optional Move 12,COTTON_SPORE,WORK_UP,GYRO_BALL,ENTRAINMENT,BULK_UP,WATER_PULSE
