Trainer 612,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,RAPIDASH,ARCANINE,BLAZIKEN,NONE,NONE,NONE
Level,52,52,52,,,
Ability,RUN_AWAY,INTIMIDATE,SPEED_BOOST,,,
Held Item,NONE,NONE,NONE,,,
Move 1,FIRE_BLAST,FLAMETHROWER,HIGH_JUMP_KICK,,,
Move 2,MEGAHORN,PLAY_ROUGH,BULK_UP,,,
Move 3,AGILITY,AGILITY,BLAZE_KICK,,,
Move 4,SMART_STRIKE,REVERSAL,FLAMETHROWER,,,
Optional Move 1,FURY_ATTACK,EXTREME_SPEED,DOUBLE_KICK,,,
Optional Move 2,POISON_JAB,BITE,FIRE_PUNCH,,,
Optional Move 3,TACKLE,CRUNCH,BRAVE_BIRD,,,
Optional Move 4,QUICK_ATTACK,EMBER,FEATHER_DANCE,,,
Optional Move 5,GROWL,FIRE_FANG,SCRATCH,,,
Optional Move 6,TAIL_WHIP,FLAME_WHEEL,GROWL,,,
Optional Move 7,EMBER,FLARE_BLITZ,EMBER,,,
Optional Move 8,FLAME_CHARGE,HELPING_HAND,QUICK_ATTACK,,,
Optional Move 9,FLAME_WHEEL,HOWL,FLARE_BLITZ,,,
Optional Move 10,STOMP,LEER,SAND_ATTACK,,,
Optional Move 11,FIRE_SPIN,RETALIATE,DETECT,,,
Optional Move 12,TAKE_DOWN,ROAR,FLAME_CHARGE,,,
