Trainer 625,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,LILLIGANT,GOTHITELLE,HOUNDOOM,NONE,NONE,NONE
Level,54,54,54,,,
Ability,CHLOROPHYLL,FRISK,SOLAR_POWER,,,
Held Item,NONE,NONE,NONE,,,
Move 1,PETAL_DANCE,FUTURE_SIGHT,FLAMETHROWER,,,
Move 2,QUIVER_DANCE,HEAL_BLOCK,NASTY_PLOT,,,
Move 3,ENERGY_BALL,FEINT_ATTACK,INFERNO,,,
Move 4,SUNNY_DAY,PSYCHIC,FOUL_PLAY,,,
Optional Move 1,ABSORB,POUND,THUNDER_FANG,,,
Optional Move 2,AFTER_YOU,CONFUSION,LEER,,,
Optional Move 3,CHARM,PLAY_NICE,EMBER,,,
Optional Move 4,ENTRAINMENT,TICKLE,HOWL,,,
Optional Move 5,GIGA_DRAIN,PSYBEAM,SMOG,,,
Optional Move 6,GROWTH,DOUBLE_SLAP,ROAR,,,
Optional Move 7,HELPING_HAND,FAKE_TEARS,BITE,,,
Optional Move 8,LEAF_STORM,EMBARGO,ODOR_SLEUTH,,,
Optional Move 9,LEECH_SEED,PSYSHOCK,BEAT_UP,,,
Optional Move 10,MEGA_DRAIN,HYPNOSIS,FIRE_FANG,,,
Optional Move 11,PETAL_BLIZZARD,CHARM,FEINT_ATTACK,,,
Optional Move 12,SLEEP_POWDER,PSYCH_UP,EMBARGO,,,
