Trainer 638,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,TENTACRUEL,TOXAPEX,QWILFISH,DRAGALGE,CLOYSTER,NONE
Level,55,55,55,55,55,
Ability,CLEAR_BODY,MERCILESS,POISON_POINT,POISON_POINT,SHELL_ARMOR,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,HYDRO_PUMP,LIQUIDATION,CRUNCH,SLUDGE_BOMB,HYDRO_PUMP,
Move 2,SURF,BANEFUL_BUNKER,BRINE,HYDRO_PUMP,ICICLE_CRASH,
Move 3,ACID_ARMOR,BITE,BITE,DOUBLE_TEAM,IRON_DEFENSE,
Move 4,SLUDGE_WAVE,POISON_JAB,BARB_BARRAGE,DRAGON_PULSE,ICE_BEAM,
Optional Move 1,REFLECT_TYPE,POISON_STING,POISON_STING,TWISTER,ICICLE_SPEAR,
Optional Move 2,POISON_STING,PECK,TACKLE,TACKLE,TOXIC_SPIKES,
Optional Move 3,WATER_GUN,WIDE_GUARD,FELL_STINGER,SMOKESCREEN,SPIKES,
Optional Move 4,ACID,TOXIC_SPIKES,HYDRO_PUMP,ACID,LEER,
Optional Move 5,WRAP,VENOSHOCK,DESTINY_BOND,WATER_GUN,WHIRLPOOL,
Optional Move 6,WRING_OUT,RECOVER,WATER_GUN,DRAGON_TAIL,SUPERSONIC,
Optional Move 7,SUPERSONIC,SPIKE_CANNON,SPIKES,FEINT_ATTACK,AURORA_BEAM,
Optional Move 8,CONSTRICT,PIN_MISSILE,HARDEN,TAIL_WHIP,PROTECT,
Optional Move 9,TOXIC_SPIKES,TOXIC,MINIMIZE,BUBBLE,RAZOR_SHELL,
Optional Move 10,WATER_PULSE,VENOM_DRENCH,BUBBLE,CAMOUFLAGE,SHELL_SMASH,
Optional Move 11,ACID_SPRAY,WATER_PULSE,ROLLOUT,POISON_TAIL,TACKLE,
Optional Move 12,BUBBLE_BEAM,HAIL,REVENGE,WATER_PULSE,WATER_GUN,
