Trainer 675,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,RUNERIGUS,STUNFISK,DUGTRIO,STUNFISK,DUGTRIO,NONE
Level,58,58,58,58,58,
Ability,WANDERING_SPIRIT,STATIC,SAND_VEIL,MIMICRY,SAND_VEIL,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,EARTHQUAKE,THUNDERBOLT,EARTHQUAKE,MUDDY_WATER,EARTHQUAKE,
Move 2,SHADOW_BALL,MUDDY_WATER,TRI_ATTACK,BOUNCE,EARTH_POWER,
Move 3,CURSE,DISCHARGE,EARTH_POWER,SUCKER_PUNCH,DIG,
Move 4,SHADOW_CLAW,MUD_BOMB,SANDSTORM,METAL_CLAW,IRON_HEAD,
Optional Move 1,SCARY_FACE,MUD_SLAP,SAND_TOMB,MUD_SLAP,SAND_TOMB,
Optional Move 2,ASTONISH,TACKLE,NIGHT_SLASH,TACKLE,NIGHT_SLASH,
Optional Move 3,PROTECT,WATER_GUN,SAND_ATTACK,WATER_GUN,TRI_ATTACK,
Optional Move 4,HAZE,THUNDER_SHOCK,SCRATCH,THUNDER_SHOCK,SAND_ATTACK,
Optional Move 5,NIGHT_SHADE,FISSURE,GROWL,FISSURE,SCRATCH,
Optional Move 6,DISABLE,FLAIL,ASTONISH,FLAIL,GROWL,
Optional Move 7,BRUTAL_SWING,MUD_SPORT,ROTOTILLER,MUD_SPORT,ASTONISH,
Optional Move 8,CRAFTY_SHIELD,BIDE,MUD_SLAP,BIDE,ROTOTILLER,
Optional Move 9,HEX,MUD_SHOT,MAGNITUDE,MUD_SHOT,MUD_SLAP,
Optional Move 10,MEAN_LOOK,ENDURE,BULLDOZE,ENDURE,MAGNITUDE,
Optional Move 11,SLAM,CAMOUFLAGE,SUCKER_PUNCH,CAMOUFLAGE,BULLDOZE,
Optional Move 12,POWER_SPLIT,CHARGE,MUD_BOMB,CHARGE,SUCKER_PUNCH,
