Trainer 687,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,HIPPOWDON,RHYPERIOR,GLISCOR,SANDACONDA,SWAMPERT,NONE
Level,58,58,58,58,58,
Ability,SAND_STREAM,LIGHTNING_ROD,HYPER_CUTTER,SAND_SPIT,SWIFT_SWIM,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,EARTHQUAKE,EARTHQUAKE,SKY_UPPERCUT,COIL,EARTHQUAKE,
Move 2,CRUNCH,MEGAHORN,FIRE_FANG,SLAM,SURF,
Move 3,SAND_ATTACK,SCARY_FACE,POISON_JAB,HEADBUTT,MUDDY_WATER,
Move 4,FIRE_FANG,ROCK_WRECKER,ACROBATICS,BULLDOZE,AMNESIA,
Optional Move 1,ICE_FANG,HAMMER_ARM,GUILLOTINE,SKULL_BASH,MUD_SHOT,
Optional Move 2,THUNDER_FANG,TACKLE,THUNDER_FANG,WRAP,HAMMER_ARM,
Optional Move 3,TACKLE,TAIL_WHIP,ICE_FANG,SAND_ATTACK,TACKLE,
Optional Move 4,BITE,SMACK_DOWN,SAND_ATTACK,MINIMIZE,GROWL,
Optional Move 5,YAWN,BULLDOZE,HARDEN,BRUTAL_SWING,WATER_GUN,
Optional Move 6,DIG,HORN_DRILL,KNOCK_OFF,GLARE,ROCK_SMASH,
Optional Move 7,SAND_TOMB,POISON_JAB,QUICK_ATTACK,DIG,MUD_SLAP,
Optional Move 8,TAKE_DOWN,HORN_ATTACK,FURY_CUTTER,SANDSTORM,ROCK_THROW,
Optional Move 9,SANDSTORM,FURY_ATTACK,FEINT_ATTACK,SAND_TOMB,FORESIGHT,
Optional Move 10,ROAR,STOMP,NIGHT_SLASH,TOXIC,SUPERSONIC,
Optional Move 11,REST,CHIP_AWAY,U_TURN,HIDDEN_POWER,BIDE,
Optional Move 12,DOUBLE_EDGE,ROCK_BLAST,SCREECH,HYPER_BEAM,WATER_PULSE,
