Trainer 689,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MUDSDALE,GREAT_TUSK,CLAYDOL,KROOKODILE,TYRANITAR,NONE
Level,58,58,58,58,58,
Ability,OWN_TEMPO,PROTOSYNTHESIS,LEVITATE,INTIMIDATE,SAND_STREAM,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,EARTHQUAKE,EARTHQUAKE,EARTH_POWER,THRASH,STONE_EDGE,
Move 2,STRENGTH,BRICK_BREAK,ROCK_TOMB,HONE_CLAWS,THRASH,
Move 3,IRON_DEFENSE,KNOCK_OFF,EXTRASENSORY,OUTRAGE,EARTHQUAKE,
Move 4,SUPERPOWER,ROLLOUT,COSMIC_POWER,FOUL_PLAY,CRUNCH,
Optional Move 1,MUD_SLAP,DEFENSE_CURL,HYPER_BEAM,POWER_TRIP,IRON_DEFENSE,
Optional Move 2,ROCK_SMASH,HORN_ATTACK,TELEPORT,LEER,THUNDER_FANG,
Optional Move 3,DOUBLE_KICK,SUNNY_DAY,HARDEN,SAND_ATTACK,ICE_FANG,
Optional Move 4,MUD_SPORT,BULLDOZE,MUD_SLAP,RAGE,FIRE_FANG,
Optional Move 5,ROTOTILLER,TAUNT,RAPID_SPIN,BITE,TACKLE,
Optional Move 6,BULLDOZE,RAPID_SPIN,CONFUSION,SAND_TOMB,LEER,
Optional Move 7,STOMP,STOMPING_TANTRUM,HEAL_BLOCK,TORMENT,ROCK_THROW,
Optional Move 8,BIDE,GIGA_IMPACT,PSYBEAM,ASSURANCE,PAYBACK,
Optional Move 9,HIGH_HORSEPOWER,ROAR,POWER_TRICK,MUD_SLAP,BITE,
Optional Move 10,COUNTER,TOXIC,ANCIENT_POWER,EMBARGO,SANDSTORM,
Optional Move 11,HEAVY_SLAM,BULK_UP,SELF_DESTRUCT,SCARY_FACE,SCREECH,
Optional Move 12,MEGA_KICK,HIDDEN_POWER,IMPRISON,SWAGGER,CHIP_AWAY,
