Trainer 692,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,LURANTIS,MISDREAVUS,SHARPEDO,NONE,NONE,NONE
Level,54,54,54,,,
Ability,LEAF_GUARD,LEVITATE,SPEED_BOOST,,,
Held Item,NONE,NONE,NONE,,,
Move 1,PETAL_BLIZZARD,SHADOW_BALL,LIQUIDATION,,,
Move 2,X_SCISSOR,SPITE,FOCUS_ENERGY,,,
Move 3,LEAF_BLADE,HEX,ICE_FANG,,,
Move 4,SUNNY_DAY,PSYBEAM,CRUNCH,,,
Optional Move 1,NIGHT_SLASH,GROWL,SLASH,,,
Optional Move 2,SOLAR_BEAM,PSYWAVE,NIGHT_SLASH,,,
Optional Move 3,DUAL_CHOP,ASTONISH,AQUA_JET,,,
Optional Move 4,LEAFAGE,CONFUSE_RAY,LEER,,,
Optional Move 5,FURY_CUTTER,MEAN_LOOK,POISON_FANG,,,
Optional Move 6,GROWTH,PAIN_SPLIT,FEINT,,,
Optional Move 7,INGRAIN,PAYBACK,BITE,,,
Optional Move 8,RAZOR_LEAF,PERISH_SONG,RAGE,,,
Optional Move 9,SLASH,GRUDGE,ASSURANCE,,,
Optional Move 10,SWEET_SCENT,SCREECH,SCARY_FACE,,,
Optional Move 11,SYNTHESIS,DESTINY_BOND,SCREECH,,,
Optional Move 12,TOXIC,PSYCH_UP,SWAGGER,,,
