Trainer 708,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,DUSCLOPS,CURSOLA,TREVENANT,ORICORIO,MIMIKYU,NONE
Level,60,60,60,60,60,
Ability,PRESSURE,WEAK_ARMOR,NATURAL_CURE,DANCER,DISGUISE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,SHADOW_BALL,POWER_GEM,HORN_LEECH,AIR_SLASH,PLAY_ROUGH,
Move 2,FUTURE_SIGHT,SPITE,CONFUSE_RAY,REVELATION_DANCE,DOUBLE_TEAM,
Move 3,CONFUSE_RAY,HEX,PHANTOM_FORCE,AGILITY,SHADOW_CLAW,
Move 4,SHADOW_PUNCH,ANCIENT_POWER,SHADOW_CLAW,HURRICANE,SLASH,
Optional Move 1,FIRE_PUNCH,PERISH_SONG,ASTONISH,POUND,WOOD_HAMMER,
Optional Move 2,ICE_PUNCH,TACKLE,TACKLE,GROWL,SPLASH,
Optional Move 3,THUNDER_PUNCH,HARDEN,BRANCH_POKE,PECK,ASTONISH,
Optional Move 4,GRAVITY,ASTONISH,LEECH_SEED,HELPING_HAND,SCRATCH,
Optional Move 5,BIND,DISABLE,GROWTH,AIR_CUTTER,COPYCAT,
Optional Move 6,ASTONISH,CURSE,FEINT_ATTACK,BATON_PASS,SHADOW_SNEAK,
Optional Move 7,LEER,STRENGTH_SAP,HEX,FEATHER_DANCE,BABY_DOLL_EYES,
Optional Move 8,DISABLE,NIGHT_SHADE,WILL_O_WISP,DOUBLE_SLAP,MIMIC,
Optional Move 9,SHADOW_SNEAK,GRUDGE,INGRAIN,TEETER_DANCE,FEINT_ATTACK,
Optional Move 10,NIGHT_SHADE,MIRROR_COAT,CURSE,ROOST,HONE_CLAWS,
Optional Move 11,FORESIGHT,WATER_PULSE,DESTINY_BOND,CAPTIVATE,CHARM,
Optional Move 12,PURSUIT,CALM_MIND,FORESTS_CURSE,MIRROR_MOVE,PAIN_SPLIT,
