Trainer 748,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,ZOROARK,CRYOGONAL,LEAFEON,PROBOPASS,MUK,UMBREON
Level,62,62,62,62,62,62
Ability,ILLUSION,LEVITATE,LEAF_GUARD,STURDY,POISON_TOUCH,SYNCHRONIZE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,SHADOW_BALL,ICE_BEAM,LEAF_BLADE,STONE_EDGE,GUNK_SHOT,DARK_PULSE
Move 2,FOUL_PLAY,SOLAR_BEAM,LAST_RESORT,IRON_DEFENSE,BELCH,LAST_RESORT
Move 3,U_TURN,FREEZE_DRY,SWORDS_DANCE,ZAP_CANNON,CRUNCH,BITE
Move 4,SCRATCH,ACID_ARMOR,SAND_ATTACK,MAGNET_BOMB,ACID_ARMOR,GUARD_SWAP
Optional Move 1,NIGHT_SLASH,BIND,RAZOR_LEAF,TRI_ATTACK,VENOM_DRENCH,SNARL
Optional Move 2,LEER,ICE_SHARD,COVET,MAGNETIC_FLUX,POUND,PURSUIT
Optional Move 3,TORMENT,SHEER_COLD,SWIFT,MAGNET_RISE,POISON_GAS,COVET
Optional Move 4,HONE_CLAWS,NIGHT_SLASH,BITE,GRAVITY,HARDEN,SWIFT
Optional Move 5,NIGHT_DAZE,SHARPEN,COPYCAT,WIDE_GUARD,MUD_SLAP,COPYCAT
Optional Move 6,IMPRISON,RAPID_SPIN,BATON_PASS,TACKLE,DISABLE,BATON_PASS
Optional Move 7,PURSUIT,ICY_WIND,TAKE_DOWN,BLOCK,SLUDGE,TAKE_DOWN
Optional Move 8,FURY_SWIPES,LASER_FOCUS,CHARM,THUNDER_WAVE,MUD_BOMB,CHARM
Optional Move 9,FEINT_ATTACK,MIST,DOUBLE_EDGE,REST,MINIMIZE,DOUBLE_EDGE
Optional Move 10,SCARY_FACE,HAZE,HELPING_HAND,SPARK,FLING,HELPING_HAND
Optional Move 11,TAUNT,CONFUSE_RAY,TACKLE,ROCK_SLIDE,SLUDGE_BOMB,TACKLE
Optional Move 12,KNOCK_OFF,AURORA_BEAM,GROWL,POWER_GEM,SLUDGE_WAVE,GROWL
