Trainer 756,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,COMFEY,ACCELGOR,ALTARIA,NONE,NONE,NONE
Level,58,58,58,,,
Ability,FLOWER_VEIL,HYDRATION,PIXILATE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,PETAL_DANCE,BUG_BUZZ,MOONBLAST,,,
Move 2,FLOWER_SHIELD,BODY_SLAM,SKY_ATTACK,,,
Move 3,PETAL_BLIZZARD,GIGA_DRAIN,DRAGON_PULSE,,,
Move 4,PLAY_ROUGH,ACID_ARMOR,TAKE_DOWN,,,
Optional Move 1,WRAP,WATER_SHURIKEN,DRAGON_BREATH,,,
Optional Move 2,GROWTH,ACID,PLUCK,,,
Optional Move 3,HELPING_HAND,CURSE,PECK,,,
Optional Move 4,VINE_WHIP,YAWN,GROWL,,,
Optional Move 5,DRAINING_KISS,GUARD_SWAP,DISARMING_VOICE,,,
Optional Move 6,MAGICAL_LEAF,ABSORB,MIST,,,
Optional Move 7,LEECH_SEED,DOUBLE_TEAM,ASTONISH,,,
Optional Move 8,SYNTHESIS,ACID_SPRAY,SING,,,
Optional Move 9,NATURAL_GIFT,QUICK_ATTACK,FURY_ATTACK,,,
Optional Move 10,SWEET_KISS,FINAL_GAMBIT,ROUND,,,
Optional Move 11,GRASS_KNOT,POWER_SWAP,SAFEGUARD,,,
Optional Move 12,FLORAL_HEALING,MEGA_DRAIN,NATURAL_GIFT,,,
