Trainer 761,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,HAUNTER,SHEDINJA,TREVENANT,COFAGRIGUS,MISMAGIUS,NONE
Level,63,63,63,63,63,
Ability,LEVITATE,WONDER_GUARD,NATURAL_CURE,MUMMY,LEVITATE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,SHADOW_BALL,SHADOW_BALL,HORN_LEECH,SHADOW_BALL,POWER_GEM,
Move 2,DREAM_EATER,CONFUSE_RAY,CONFUSE_RAY,DARK_PULSE,SPITE,
Move 3,CONFUSE_RAY,SHADOW_CLAW,SHADOW_CLAW,OMINOUS_WIND,ASTONISH,
Move 4,DARK_PULSE,METAL_CLAW,HEX,HEX,MYSTICAL_FIRE,
Optional Move 1,SHADOW_PUNCH,GRUDGE,ASTONISH,SHADOW_CLAW,PHANTOM_FORCE,
Optional Move 2,LICK,MUD_SLAP,TACKLE,SCARY_FACE,LUCKY_CHANT,
Optional Move 3,HYPNOSIS,DIG,BRANCH_POKE,ASTONISH,MAGICAL_LEAF,
Optional Move 4,MEAN_LOOK,SCRATCH,LEECH_SEED,PROTECT,GROWL,
Optional Move 5,SPITE,SAND_ATTACK,GROWTH,HAZE,PSYWAVE,
Optional Move 6,CURSE,HARDEN,FEINT_ATTACK,NIGHT_SHADE,CALM_MIND,
Optional Move 7,PAYBACK,FALSE_SWIPE,WILL_O_WISP,DISABLE,TOXIC,
Optional Move 8,NIGHT_SHADE,ABSORB,INGRAIN,WILL_O_WISP,HIDDEN_POWER,
Optional Move 9,SUCKER_PUNCH,SHADOW_SNEAK,CURSE,CRAFTY_SHIELD,SUNNY_DAY,
Optional Move 10,HEX,FURY_SWIPES,PHANTOM_FORCE,CURSE,TAUNT,
Optional Move 11,DESTINY_BOND,MIND_READER,DESTINY_BOND,MEAN_LOOK,HYPER_BEAM,
Optional Move 12,NIGHTMARE,SPITE,FORESTS_CURSE,GRUDGE,PROTECT,
