Trainer 770,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BOLTUND,DRAGALGE,SCIZOR,HOUNDOOM,GASTRODON,MANECTRIC
Level,66,66,66,66,66,66
Ability,STRONG_JAW,POISON_POINT,SWARM,EARLY_BIRD,STICKY_HOLD,INTIMIDATE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,PLAY_ROUGH,OUTRAGE,X_SCISSOR,FLAMETHROWER,MUDDY_WATER,DISCHARGE
Move 2,CHARGE,HYDRO_PUMP,AIR_SLASH,NASTY_PLOT,BODY_SLAM,CHARGE
Move 3,CRUNCH,DRAGON_PULSE,IRON_DEFENSE,INFERNO,MUD_SPORT,THUNDER
Move 4,SPARK,SLUDGE_BOMB,IRON_HEAD,FOUL_PLAY,EARTH_POWER,SHOCK_WAVE
Optional Move 1,ELECTRIFY,TWISTER,BULLET_PUNCH,THUNDER_FANG,WATER_GUN,FIRE_FANG
Optional Move 2,TACKLE,TACKLE,WING_ATTACK,LEER,MUD_SLAP,TACKLE
Optional Move 3,TAIL_WHIP,SMOKESCREEN,AGILITY,EMBER,HARDEN,THUNDER_WAVE
Optional Move 4,NUZZLE,ACID,QUICK_ATTACK,HOWL,RECOVER,LEER
Optional Move 5,BITE,WATER_GUN,LEER,SMOG,WATER_PULSE,HOWL
Optional Move 6,ROAR,DRAGON_TAIL,FURY_CUTTER,ROAR,MUD_BOMB,ELECTRIC_TERRAIN
Optional Move 7,CHARM,FEINT_ATTACK,FALSE_SWIPE,BITE,HIDDEN_POWER,QUICK_ATTACK
Optional Move 8,WILD_CHARGE,TAIL_WHIP,FEINT,ODOR_SLEUTH,ANCIENT_POWER,SPARK
Optional Move 9,ELECTRIC_TERRAIN,BUBBLE,PURSUIT,BEAT_UP,RAIN_DANCE,ODOR_SLEUTH
Optional Move 10,TOXIC,CAMOUFLAGE,METAL_CLAW,FIRE_FANG,MEMENTO,BITE
Optional Move 11,HIDDEN_POWER,DOUBLE_TEAM,DOUBLE_TEAM,FEINT_ATTACK,TOXIC,THUNDER_FANG
Optional Move 12,HYPER_BEAM,POISON_TAIL,FOCUS_ENERGY,EMBARGO,HAIL,ROAR
