Trainer 772,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MIMIKYU,RUNERIGUS,KROOKODILE,UMBREON,COFAGRIGUS,BANETTE
Level,66,66,66,66,66,66
Ability,DISGUISE,WANDERING_SPIRIT,INTIMIDATE,SYNCHRONIZE,MUMMY,FRISK
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,PLAY_ROUGH,EARTHQUAKE,THRASH,DARK_PULSE,SHADOW_BALL,SHADOW_BALL
Move 2,DOUBLE_TEAM,SHADOW_BALL,HONE_CLAWS,LAST_RESORT,DARK_PULSE,KNOCK_OFF
Move 3,SHADOW_CLAW,CURSE,OUTRAGE,BITE,OMINOUS_WIND,PHANTOM_FORCE
Move 4,SLASH,SHADOW_CLAW,FOUL_PLAY,GUARD_SWAP,HEX,SUCKER_PUNCH
Optional Move 1,WOOD_HAMMER,SCARY_FACE,POWER_TRIP,SNARL,SHADOW_CLAW,SCREECH
Optional Move 2,SPLASH,ASTONISH,LEER,PURSUIT,SCARY_FACE,NIGHT_SHADE
Optional Move 3,ASTONISH,PROTECT,SAND_ATTACK,COVET,ASTONISH,SPITE
Optional Move 4,SCRATCH,HAZE,RAGE,SWIFT,PROTECT,SHADOW_SNEAK
Optional Move 5,COPYCAT,NIGHT_SHADE,BITE,COPYCAT,HAZE,WILL_O_WISP
Optional Move 6,SHADOW_SNEAK,DISABLE,SAND_TOMB,BATON_PASS,NIGHT_SHADE,FEINT_ATTACK
Optional Move 7,BABY_DOLL_EYES,BRUTAL_SWING,TORMENT,TAKE_DOWN,DISABLE,HEX
Optional Move 8,MIMIC,CRAFTY_SHIELD,ASSURANCE,CHARM,WILL_O_WISP,CURSE
Optional Move 9,FEINT_ATTACK,HEX,MUD_SLAP,DOUBLE_EDGE,CRAFTY_SHIELD,EMBARGO
Optional Move 10,HONE_CLAWS,MEAN_LOOK,EMBARGO,HELPING_HAND,CURSE,SNATCH
Optional Move 11,CHARM,SLAM,SCARY_FACE,TACKLE,MEAN_LOOK,GRUDGE
Optional Move 12,PAIN_SPLIT,POWER_SPLIT,SWAGGER,GROWL,GRUDGE,TRICK
