Trainer 826,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CLOYSTER,WALREIN,GLALIE,NONE,NONE,NONE
Level,68,68,68,,,
Ability,SHELL_ARMOR,THICK_FAT,REFRIGERATE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,HYDRO_PUMP,SURF,CRUNCH,,,
Move 2,ICICLE_CRASH,BODY_SLAM,DOUBLE_TEAM,,,
Move 3,IRON_DEFENSE,SWAGGER,BLIZZARD,,,
Move 4,ICE_BEAM,BLIZZARD,FREEZE_DRY,,,
Optional Move 1,ICICLE_SPEAR,ICE_FANG,SHEER_COLD,,,
Optional Move 2,TOXIC_SPIKES,CRUNCH,POWDER_SNOW,,,
Optional Move 3,SPIKES,ROLLOUT,ASTONISH,,,
Optional Move 4,LEER,DEFENSE_CURL,LEER,,,
Optional Move 5,WHIRLPOOL,GROWL,ICE_SHARD,,,
Optional Move 6,SUPERSONIC,WATER_GUN,ICY_WIND,,,
Optional Move 7,AURORA_BEAM,POWDER_SNOW,PROTECT,,,
Optional Move 8,PROTECT,ICE_BALL,BITE,,,
Optional Move 9,RAZOR_SHELL,BRINE,ICE_FANG,,,
Optional Move 10,SHELL_SMASH,ENCORE,FROST_BREATH,,,
Optional Move 11,TACKLE,REST,HEADBUTT,,,
Optional Move 12,WATER_GUN,AURORA_BEAM,HAIL,,,
