Trainer 840,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SCOVILLAIN,HATTERENE,PIDGEOT,NONE,NONE,NONE
Level,70,70,70,,,
Ability,CHLOROPHYLL,HEALER,NO_GUARD,,,
Held Item,NONE,NONE,NONE,,,
Move 1,FLAMETHROWER,PSYCHIC,AIR_SLASH,,,
Move 2,SEED_BOMB,DAZZLING_GLEAM,AGILITY,,,
Move 3,SPICY_EXTRACT,CALM_MIND,HURRICANE,,,
Move 4,SOLAR_BEAM,PSYBEAM,QUICK_ATTACK,,,
Optional Move 1,FIRE_FANG,PSYCHO_CUT,TACKLE,,,
Optional Move 2,LEAFAGE,BRUTAL_SWING,SAND_ATTACK,,,
Optional Move 3,LEER,CONFUSION,GUST,,,
Optional Move 4,BITE,PLAY_NICE,WHIRLWIND,,,
Optional Move 5,GROWTH,LIFE_DEW,TWISTER,,,
Optional Move 6,RAZOR_LEAF,DISARMING_VOICE,FEATHER_DANCE,,,
Optional Move 7,SUNNY_DAY,AROMATHERAPY,WING_ATTACK,,,
Optional Move 8,BULLET_SEED,HEAL_PULSE,ROOST,,,
Optional Move 9,HEADBUTT,HEALING_WISH,TAILWIND,,,
Optional Move 10,ZEN_HEADBUTT,MAGIC_POWDER,MIRROR_MOVE,,,
Optional Move 11,WORRY_SEED,TOXIC,TOXIC,,,
Optional Move 12,CRUNCH,HIDDEN_POWER,HIDDEN_POWER,,,
