Trainer 845,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,COALOSSAL,MORPEKO,FROSMOTH,HATTERENE,ARCHALUDON,RILLABOOM
Level,75,75,75,75,75,75
Ability,STEAM_ENGINE,HUNGER_SWITCH,SHIELD_DUST,HEALER,STAMINA,OVERGROW
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,BURN_UP,AURA_WHEEL,BUG_BUZZ,PSYCHIC,FLASH_CANNON,DRUM_BEATING
Move 2,INCINERATE,THRASH,BLIZZARD,DAZZLING_GLEAM,IRON_DEFENSE,BOOMBURST
Move 3,ANCIENT_POWER,AGILITY,AURORA_BEAM,CALM_MIND,DRAGON_CLAW,KNOCK_OFF
Move 4,ROCK_POLISH,CRUNCH,QUIVER_DANCE,PSYBEAM,BREAKING_SWIPE,UPROAR
Optional Move 1,TAR_SHOT,THUNDER_SHOCK,ICY_WIND,PSYCHO_CUT,ELECTRO_SHOT,DOUBLE_HIT
Optional Move 2,FLAME_CHARGE,TAIL_WHIP,POWDER_SNOW,BRUTAL_SWING,LEER,GRASSY_TERRAIN
Optional Move 3,TACKLE,LEER,STRUGGLE_BUG,CONFUSION,METAL_CLAW,NOBLE_ROAR
Optional Move 4,SMOKESCREEN,POWER_TRIP,HELPING_HAND,PLAY_NICE,ROCK_SMASH,SCRATCH
Optional Move 5,RAPID_SPIN,QUICK_ATTACK,ATTRACT,LIFE_DEW,HONE_CLAWS,GROWL
Optional Move 6,SMACK_DOWN,FLATTER,STUN_SPORE,DISARMING_VOICE,METAL_SOUND,BRANCH_POKE
Optional Move 7,STEALTH_ROCK,BITE,INFESTATION,AROMATHERAPY,DRAGON_TAIL,TAUNT
Optional Move 8,HEAT_CRASH,SPARK,MIST,HEAL_PULSE,FOCUS_ENERGY,RAZOR_LEAF
Optional Move 9,ROCK_BLAST,TORMENT,DEFOG,HEALING_WISH,METAL_BURST,SCREECH
Optional Move 10,TOXIC,BULLET_SEED,FEATHER_DANCE,MAGIC_POWDER,HYPER_BEAM,SLAM
Optional Move 11,HIDDEN_POWER,TOXIC,HAIL,TOXIC,ROAR,WOOD_HAMMER
Optional Move 12,SUNNY_DAY,HIDDEN_POWER,AURORA_VEIL,HIDDEN_POWER,TOXIC,ENDEAVOR
