Trainer 862,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,AMBIPOM,JUMPLUFF,KINGDRA,URSALUNA,SCIZOR,TYPHLOSION
Level,75,75,75,75,75,75
Ability,TECHNICIAN,CHLOROPHYLL,SWIFT_SWIM,GUTS,TECHNICIAN,BLAZE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,LAST_RESORT,GIGA_DRAIN,HYDRO_PUMP,THRASH,X_SCISSOR,ERUPTION
Move 2,AGILITY,MEGA_DRAIN,DRAGON_PULSE,PLAY_ROUGH,AIR_SLASH,LEER
Move 3,SWIFT,U_TURN,DRAGON_DANCE,HAMMER_ARM,IRON_DEFENSE,GYRO_BALL
Move 4,SCRATCH,BOUNCE,DRAGON_BREATH,HEADLONG_RUSH,IRON_HEAD,INFERNO
Optional Move 1,DUAL_CHOP,ABSORB,WHIRLPOOL,MOONLIGHT,BULLET_PUNCH,DOUBLE_EDGE
Optional Move 2,TAIL_WHIP,SPLASH,YAWN,COVET,WING_ATTACK,EMBER
Optional Move 3,SAND_ATTACK,SYNTHESIS,WATER_GUN,FAKE_TEARS,AGILITY,SMOKESCREEN
Optional Move 4,ASTONISH,TAIL_WHIP,LEER,LEER,QUICK_ATTACK,TACKLE
Optional Move 5,BATON_PASS,TACKLE,SMOKESCREEN,LICK,LEER,QUICK_ATTACK
Optional Move 6,TICKLE,FAIRY_WIND,TWISTER,SCRATCH,FURY_CUTTER,FLAME_WHEEL
Optional Move 7,FURY_SWIPES,POISON_POWDER,BUBBLE,FURY_SWIPES,FALSE_SWIPE,DEFENSE_CURL
Optional Move 8,SCREECH,STUN_SPORE,FOCUS_ENERGY,PAYBACK,FEINT,SWIFT
Optional Move 9,DOUBLE_HIT,SLEEP_POWDER,BUBBLE_BEAM,SWEET_SCENT,PURSUIT,FLAME_CHARGE
Optional Move 10,FLING,BULLET_SEED,BRINE,SLASH,METAL_CLAW,LAVA_PLUME
Optional Move 11,NASTY_PLOT,LEECH_SEED,AGILITY,PLAY_NICE,DOUBLE_TEAM,FLAMETHROWER
Optional Move 12,FOCUS_PUNCH,ACROBATICS,LASER_FOCUS,SCARY_FACE,FOCUS_ENERGY,ROLLOUT
