Trainer 863,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,HOUNDOOM,CROBAT,ELECTIVIRE,PORYGON_Z,DONPHAN,FERALIGATR
Level,75,75,75,75,75,75
Ability,SOLAR_POWER,INNER_FOCUS,MOTOR_DRIVE,ADAPTABILITY,STURDY,TORRENT
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,FLAMETHROWER,AIR_SLASH,THUNDERBOLT,TRI_ATTACK,EARTHQUAKE,AQUA_TAIL
Move 2,NASTY_PLOT,LEECH_LIFE,FIRE_PUNCH,DISCHARGE,KNOCK_OFF,THRASH
Move 3,INFERNO,BITE,CHARGE,NASTY_PLOT,FIRE_FANG,AGILITY
Move 4,FOUL_PLAY,CROSS_POISON,THUNDER,PSYBEAM,SLAM,ICE_FANG
Optional Move 1,THUNDER_FANG,TAILWIND,QUICK_ATTACK,TRICK_ROOM,FURY_ATTACK,SCRATCH
Optional Move 2,LEER,TOXIC,LEER,DEFENSE_CURL,THUNDER_FANG,LEER
Optional Move 3,EMBER,SCREECH,THUNDER_SHOCK,TACKLE,HORN_ATTACK,WATER_GUN
Optional Move 4,HOWL,ABSORB,ELECTRIC_TERRAIN,CONVERSION,BULLDOZE,RAGE
Optional Move 5,SMOG,SUPERSONIC,ION_DELUGE,RECYCLE,GROWL,BITE
Optional Move 6,ROAR,ASTONISH,LOW_KICK,MAGNET_RISE,DEFENSE_CURL,SCARY_FACE
Optional Move 7,BITE,MEAN_LOOK,SWIFT,ZAP_CANNON,RAPID_SPIN,FLAIL
Optional Move 8,ODOR_SLEUTH,WING_ATTACK,SHOCK_WAVE,MAGIC_COAT,ROLLOUT,CRUNCH
Optional Move 9,BEAT_UP,POISON_FANG,THUNDER_WAVE,CONVERSION_2,ASSURANCE,CHIP_AWAY
Optional Move 10,FIRE_FANG,AIR_CUTTER,ELECTRO_BALL,THUNDER_SHOCK,MAGNITUDE,SLASH
Optional Move 11,FEINT_ATTACK,SWIFT,THUNDER_PUNCH,AGILITY,SCARY_FACE,SCREECH
Optional Move 12,EMBARGO,QUICK_GUARD,SCREECH,RECOVER,GIGA_IMPACT,SUPERPOWER
