Trainer 869,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SNORLAX,KROOKODILE,DARMANITAN,CONKELDURR,PECHARUNT,PINSIR
Level,74,74,74,74,74,74
Ability,IMMUNITY,INTIMIDATE,SHEER_FORCE,GUTS,POISON_PUPPETEER,AERILATE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,LAST_RESORT,THRASH,ICICLE_CRASH,FOCUS_PUNCH,MALIGNANT_CHAIN,X_SCISSOR
Move 2,BELCH,HONE_CLAWS,THRASH,STONE_EDGE,SHADOW_BALL,THRASH
Move 3,STOCKPILE,OUTRAGE,WORK_UP,BULK_UP,NASTY_PLOT,SUPERPOWER
Move 4,AMNESIA,FOUL_PLAY,SUPERPOWER,ROCK_SLIDE,ASTONISH,FOCUS_ENERGY
Optional Move 1,RECYCLE,POWER_TRIP,HAMMER_ARM,POUND,DEFENSE_CURL,VICE_GRIP
Optional Move 2,COVET,LEER,EMBER,LEER,MEAN_LOOK,HARDEN
Optional Move 3,SWALLOW,SAND_ATTACK,TACKLE,LOW_KICK,ROLLOUT,BIND
Optional Move 4,SCREECH,RAGE,TAUNT,ROCK_THROW,MEMENTO,SEISMIC_TOSS
Optional Move 5,FLING,BITE,BITE,FOCUS_ENERGY,POISON_GAS,REVENGE
Optional Move 6,METRONOME,SAND_TOMB,ROLLOUT,BIDE,SMOG,BUG_BITE
Optional Move 7,FLAIL,TORMENT,INCINERATE,WAKE_UP_SLAP,WITHDRAW,DOUBLE_HIT
Optional Move 8,LICK,ASSURANCE,RAGE,SLAM,DESTINY_BOND,VITAL_THROW
Optional Move 9,TACKLE,MUD_SLAP,FIRE_FANG,CHIP_AWAY,FAKE_TEARS,BRICK_BREAK
Optional Move 10,DEFENSE_CURL,EMBARGO,SWAGGER,SCARY_FACE,PARTING_SHOT,STORM_THROW
Optional Move 11,BLOCK,SCARY_FACE,HEADBUTT,DYNAMIC_PUNCH,TOXIC,STRENGTH
Optional Move 12,YAWN,SWAGGER,FACADE,HAMMER_ARM,RECOVER,SUBMISSION
