Trainer 876,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,NIHILEGO,WO_CHIEN,SCREAM_TAIL,SLITHER_WING,BAXCALIBUR,GRENINJA
Level,78,78,78,78,78,78
Ability,BEAST_BOOST,TABLETS_OF_RUIN,PROTOSYNTHESIS,PROTOSYNTHESIS,THERMAL_EXCHANGE,BATTLE_BOND
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,POWER_GEM,POWER_WHIP,PSYCHIC_FANGS,FIRST_IMPRESSION,GLAIVE_RUSH,HYDRO_PUMP
Move 2,TOXIC_SPIKES,FOUL_PLAY,PLAY_ROUGH,LUNGE,ICICLE_CRASH,EXTRASENSORY
Move 3,VENOSHOCK,DARK_PULSE,HOWL,LOW_SWEEP,FOCUS_ENERGY,DOUBLE_TEAM
Move 4,HEADBUTT,POISON_POWDER,CRUNCH,BULK_UP,ICE_BEAM,NIGHT_SLASH
Optional Move 1,WRAP,ABSORB,DISABLE,SUNNY_DAY,BREAKING_SWIPE,WATER_SHURIKEN
Optional Move 2,POUND,MEAN_LOOK,POUND,BUG_BITE,DRAGON_TAIL,HAZE
Optional Move 3,POWER_SPLIT,SPITE,SING,EMBER,ICE_SHARD,ROLE_PLAY
Optional Move 4,GUARD_SPLIT,TICKLE,NOBLE_ROAR,GUST,LEER,MAT_BLOCK
Optional Move 5,TICKLE,PAYBACK,BITE,POISON_POWDER,SNOWSCAPE,POUND
Optional Move 6,ACID,STUN_SPORE,BODY_SLAM,STUN_SPORE,TACKLE,GROWL
Optional Move 7,CONSTRICT,MEGA_DRAIN,REST,FLAME_CHARGE,ICY_WIND,BUBBLE
Optional Move 8,CLEAR_SMOG,LEECH_SEED,HYPER_VOICE,STOMP,DRAGON_BREATH,QUICK_ATTACK
Optional Move 9,PSYWAVE,GROWTH,WISH,MORNING_SUN,BITE,LICK
Optional Move 10,ACID_SPRAY,INGRAIN,GYRO_BALL,SUPERPOWER,ICE_FANG,WATER_PULSE
Optional Move 11,SAFEGUARD,GIGA_DRAIN,WATER_PULSE,DUAL_WINGBEAT,DRAGON_CLAW,SMOKESCREEN
Optional Move 12,VENOM_DRENCH,RUINATION,CALM_MIND,WHIRLWIND,TAKE_DOWN,SHADOW_SNEAK
