Trainer 879,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,TYRANITAR,REGIROCK,GARCHOMP,ARCANINE,RHYPERIOR,AERODACTYL
Level,78,78,78,78,78,78
Ability,SAND_STREAM,CLEAR_BODY,SAND_VEIL,INTIMIDATE,LIGHTNING_ROD,PRESSURE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,STONE_EDGE,STONE_EDGE,DRAGON_CLAW,FLAMETHROWER,EARTHQUAKE,STONE_EDGE
Move 2,THRASH,IRON_DEFENSE,SAND_ATTACK,PLAY_ROUGH,MEGAHORN,IRON_HEAD
Move 3,EARTHQUAKE,SUPERPOWER,DRAGON_RUSH,AGILITY,SCARY_FACE,ROCK_SLIDE
Move 4,CRUNCH,ZAP_CANNON,DIG,REVERSAL,ROCK_WRECKER,WING_ATTACK
Optional Move 1,IRON_DEFENSE,CHARGE_BEAM,CRUNCH,EXTREME_SPEED,HAMMER_ARM,BITE
Optional Move 2,THUNDER_FANG,ROCK_THROW,DUAL_CHOP,BITE,TACKLE,ANCIENT_POWER
Optional Move 3,ICE_FANG,EXPLOSION,SAND_TOMB,CRUNCH,TAIL_WHIP,ICE_FANG
Optional Move 4,FIRE_FANG,STOMP,TACKLE,EMBER,SMACK_DOWN,FIRE_FANG
Optional Move 5,TACKLE,BULLDOZE,DRAGON_BREATH,FIRE_FANG,BULLDOZE,THUNDER_FANG
Optional Move 6,LEER,ANCIENT_POWER,FIRE_FANG,FLAME_WHEEL,HORN_DRILL,SUPERSONIC
Optional Move 7,ROCK_THROW,ROCK_SLIDE,DRAGON_RAGE,FLARE_BLITZ,POISON_JAB,SCARY_FACE
Optional Move 8,PAYBACK,CURSE,SANDSTORM,HELPING_HAND,HORN_ATTACK,ROAR
Optional Move 9,BITE,HAMMER_ARM,BULLDOZE,HOWL,FURY_ATTACK,CRUNCH
Optional Move 10,SANDSTORM,LOCK_ON,BITE,LEER,STOMP,AGILITY
Optional Move 11,SCREECH,HYPER_BEAM,SLASH,RETALIATE,CHIP_AWAY,TAKE_DOWN
Optional Move 12,CHIP_AWAY,FOCUS_PUNCH,TAKE_DOWN,ROAR,ROCK_BLAST,SKY_DROP
