Trainer 884,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,WALKING_WAKE,GOUGING_FIRE,CHARIZARD,NONE,NONE,NONE
Level,80,80,80,,,
Ability,PROTOSYNTHESIS,PROTOSYNTHESIS,DROUGHT,,,
Held Item,NONE,NONE,NONE,,,
Move 1,OUTRAGE,OUTRAGE,HEAT_WAVE,,,
Move 2,FLAMETHROWER,DRAGON_CLAW,DRAGON_CLAW,,,
Move 3,DRAGON_RUSH,DRAGON_RUSH,INFERNO,,,
Move 4,HYDRO_STEAM,FIRE_BLAST,AIR_SLASH,,,
Optional Move 1,HONE_CLAWS,ANCIENT_POWER,WING_ATTACK,,,
Optional Move 2,SUNNY_DAY,DOUBLE_KICK,SCRATCH,,,
Optional Move 3,AQUA_JET,NOBLE_ROAR,GROWL,,,
Optional Move 4,LEER,INCINERATE,EMBER,,,
Optional Move 5,ROAR,LEER,SMOKESCREEN,,,
Optional Move 6,TWISTER,STOMP,FLARE_BLITZ,,,
Optional Move 7,BITE,SUNNY_DAY,SHADOW_CLAW,,,
Optional Move 8,WATER_PULSE,FIRE_FANG,DRAGON_BREATH,,,
Optional Move 9,NOBLE_ROAR,HOWL,DRAGON_RAGE,,,
Optional Move 10,DRAGON_BREATH,BITE,FIRE_FANG,,,
Optional Move 11,BREAKING_SWIPE,CRUSH_CLAW,SCARY_FACE,,,
Optional Move 12,DRAGON_PULSE,MORNING_SUN,SLASH,,,
