Trainer 885,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GROUDON,RAGING_BOLT,BLAZIKEN,NONE,NONE,NONE
Level,80,80,80,,,
Ability,DROUGHT,PROTOSYNTHESIS,SPEED_BOOST,,,
Held Item,NONE,NONE,NONE,,,
Move 1,PRECIPICE_BLADES,DRAGON_PULSE,HIGH_JUMP_KICK,,,
Move 2,FIRE_BLAST,DRAGON_HAMMER,BULK_UP,,,
Move 3,BULK_UP,CHARGE,BLAZE_KICK,,,
Move 4,SOLAR_BEAM,ZAP_CANNON,SKY_UPPERCUT,,,
Optional Move 1,MUD_SHOT,ANCIENT_POWER,DOUBLE_KICK,,,
Optional Move 2,ANCIENT_POWER,SHOCK_WAVE,FIRE_PUNCH,,,
Optional Move 3,LAVA_PLUME,STOMP,BRAVE_BIRD,,,
Optional Move 4,SCARY_FACE,SUNNY_DAY,FLAMETHROWER,,,
Optional Move 5,EARTH_POWER,TWISTER,FEATHER_DANCE,,,
Optional Move 6,EARTHQUAKE,DRAGON_BREATH,SCRATCH,,,
Optional Move 7,REST,ELECTRIC_TERRAIN,GROWL,,,
Optional Move 8,FISSURE,DISCHARGE,EMBER,,,
Optional Move 9,HAMMER_ARM,DRAGON_TAIL,QUICK_ATTACK,,,
Optional Move 10,FOCUS_PUNCH,CALM_MIND,FLARE_BLITZ,,,
Optional Move 11,DRAGON_CLAW,THUNDERCLAP,SAND_ATTACK,,,
Optional Move 12,ROAR,RISING_VOLTAGE,DETECT,,,
