Trainer 892,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,KLEFKI,PALAFIN,SAWSBUCK,ALTARIA,JOLTEON,MEDICHAM
Level,74,74,74,74,74,74
Ability,PRANKSTER,ZERO_TO_HERO,CHLOROPHYLL,NATURAL_CURE,VOLT_ABSORB,PURE_POWER
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,FLASH_CANNON,WAVE_CRASH,MEGAHORN,DRAGON_PULSE,DISCHARGE,HIGH_JUMP_KICK
Move 2,LAST_RESORT,FOCUS_PUNCH,JUMP_KICK,MOONBLAST,LAST_RESORT,CALM_MIND
Move 3,FOUL_PLAY,FOCUS_ENERGY,DOUBLE_EDGE,DRAGON_BREATH,THUNDER,ICE_PUNCH
Move 4,SPIKES,ACROBATICS,SOLAR_BEAM,SKY_ATTACK,AGILITY,ZEN_HEADBUTT
Optional Move 1,FAIRY_LOCK,FLIP_TURN,HORN_LEECH,PLUCK,THUNDER_SHOCK,FIRE_PUNCH
Optional Move 2,ASTONISH,JET_PUNCH,TACKLE,PECK,COVET,THUNDER_PUNCH
Optional Move 3,TACKLE,SUPERSONIC,CAMOUFLAGE,GROWL,SWIFT,BIDE
Optional Move 4,FAIRY_WIND,WATER_GUN,GROWL,DISARMING_VOICE,BITE,MEDITATE
Optional Move 5,METAL_SOUND,ASTONISH,SAND_ATTACK,MIST,COPYCAT,CONFUSION
Optional Move 6,CRAFTY_SHIELD,AQUA_JET,DOUBLE_KICK,ASTONISH,BATON_PASS,DETECT
Optional Move 7,TORMENT,DOUBLE_HIT,LEECH_SEED,SING,TAKE_DOWN,ENDURE
Optional Move 8,DRAINING_KISS,DIVE,FEINT_ATTACK,FURY_ATTACK,CHARM,FEINT
Optional Move 9,RECYCLE,CHARM,TAKE_DOWN,ROUND,DOUBLE_EDGE,FORCE_PALM
Optional Move 10,IMPRISON,ENCORE,AROMATHERAPY,SAFEGUARD,HELPING_HAND,HIDDEN_POWER
Optional Move 11,MIRROR_SHOT,AQUA_TAIL,ENERGY_BALL,NATURAL_GIFT,TACKLE,MIND_READER
Optional Move 12,PLAY_ROUGH,MIST,CHARM,REFRESH,GROWL,PSYCH_UP
