Trainer 894,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,KOMMO_O,DELPHOX,TANGROWTH,PRIMARINA,RUNERIGUS,PINSIR
Level,74,74,74,74,74,74
Ability,BULLETPROOF,BLAZE,CHLOROPHYLL,TORRENT,WANDERING_SPIRIT,AERILATE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,OUTRAGE,FUTURE_SIGHT,POWER_WHIP,HYDRO_PUMP,EARTHQUAKE,X_SCISSOR
Move 2,CLANGING_SCALES,SHADOW_BALL,KNOCK_OFF,MOONBLAST,SHADOW_BALL,THRASH
Move 3,DRAGON_DANCE,HOWL,ANCIENT_POWER,SPARKLING_ARIA,CURSE,SUPERPOWER
Move 4,CLOSE_COMBAT,FIRE_BLAST,GIGA_DRAIN,ICY_WIND,SHADOW_CLAW,FOCUS_ENERGY
Optional Move 1,BELLY_DRUM,MYSTICAL_FIRE,BLOCK,POUND,SCARY_FACE,VICE_GRIP
Optional Move 2,AUTOTOMIZE,ROLE_PLAY,ABSORB,GROWL,ASTONISH,HARDEN
Optional Move 3,TACKLE,SWITCHEROO,BIND,WATER_GUN,PROTECT,BIND
Optional Move 4,LEER,SCRATCH,STUN_SPORE,DISARMING_VOICE,HAZE,SEISMIC_TOSS
Optional Move 5,PROTECT,TAIL_WHIP,GROWTH,AQUA_JET,NIGHT_SHADE,REVENGE
Optional Move 6,DRAGON_TAIL,EMBER,INGRAIN,BABY_DOLL_EYES,DISABLE,BUG_BITE
Optional Move 7,SKY_UPPERCUT,FLAME_CHARGE,CONSTRICT,SING,BRUTAL_SWING,DOUBLE_HIT
Optional Move 8,BIDE,PSYBEAM,VINE_WHIP,BUBBLE_BEAM,CRAFTY_SHIELD,VITAL_THROW
Optional Move 9,SCARY_FACE,FIRE_SPIN,MEGA_DRAIN,ENCORE,HEX,BRICK_BREAK
Optional Move 10,HEADBUTT,LUCKY_CHANT,POISON_POWDER,DOUBLE_SLAP,MEAN_LOOK,STORM_THROW
Optional Move 11,WORK_UP,LIGHT_SCREEN,SLEEP_POWDER,HYPER_VOICE,SLAM,STRENGTH
Optional Move 12,SCREECH,PSYSHOCK,NATURAL_GIFT,MISTY_TERRAIN,POWER_SPLIT,SUBMISSION
