Trainer 916,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SWAMPERT,KINGDRA,PALKIA,NONE,NONE,NONE
Level,78,78,78,,,
Ability,SWIFT_SWIM,SWIFT_SWIM,PRESSURE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,HYDRO_PUMP,HYDRO_PUMP,HYDRO_PUMP,,,
Move 2,SURF,DRAGON_PULSE,SPACIAL_REND,,,
Move 3,EARTHQUAKE,DRAGON_DANCE,AQUA_RING,,,
Move 4,AMNESIA,DRAGON_BREATH,DRAGON_CLAW,,,
Optional Move 1,MUD_SHOT,WHIRLPOOL,SCARY_FACE,,,
Optional Move 2,HAMMER_ARM,YAWN,WATER_PULSE,,,
Optional Move 3,TACKLE,WATER_GUN,DRAGON_BREATH,,,
Optional Move 4,GROWL,LEER,ANCIENT_POWER,,,
Optional Move 5,WATER_GUN,SMOKESCREEN,SLASH,,,
Optional Move 6,ROCK_SMASH,TWISTER,POWER_GEM,,,
Optional Move 7,MUD_SLAP,BUBBLE,AURA_SPHERE,,,
Optional Move 8,ROCK_THROW,FOCUS_ENERGY,AQUA_TAIL,,,
Optional Move 9,FORESIGHT,BUBBLE_BEAM,EARTH_POWER,,,
Optional Move 10,SUPERSONIC,BRINE,ROAR,,,
Optional Move 11,BIDE,AGILITY,TOXIC,,,
Optional Move 12,WATER_PULSE,LASER_FOCUS,HAIL,,,
