Trainer 929,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,ESPEON,SCREAM_TAIL,METAGROSS,NONE,NONE,NONE
Level,88,88,88,,,
Ability,SYNCHRONIZE,PROTOSYNTHESIS,PRESSURE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,FUTURE_SIGHT,PSYCHIC_FANGS,METEOR_MASH,,,
Move 2,LAST_RESORT,PLAY_ROUGH,AGILITY,,,
Move 3,COVET,HOWL,HAMMER_ARM,,,
Move 4,BITE,CRUNCH,PSYCHIC,,,
Optional Move 1,CONFUSION,DISABLE,CONFUSION,,,
Optional Move 2,COPYCAT,POUND,METAL_CLAW,,,
Optional Move 3,BATON_PASS,SING,BULLET_PUNCH,,,
Optional Move 4,TAKE_DOWN,NOBLE_ROAR,TACKLE,,,
Optional Move 5,CHARM,BITE,MAGNET_RISE,,,
Optional Move 6,DOUBLE_EDGE,BODY_SLAM,TAKE_DOWN,,,
Optional Move 7,HELPING_HAND,REST,FLASH_CANNON,,,
Optional Move 8,TACKLE,HYPER_VOICE,ZEN_HEADBUTT,,,
Optional Move 9,GROWL,WISH,PURSUIT,,,
Optional Move 10,TAIL_WHIP,GYRO_BALL,MIRACLE_EYE,,,
Optional Move 11,SAND_ATTACK,PERISH_SONG,SCARY_FACE,,,
Optional Move 12,QUICK_ATTACK,WATER_PULSE,IRON_DEFENSE,,,
