Trainer 944,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,THROH,FALINKS,SAWK,PAWMO,FARFETCHD,MEDICHAM
Level,18,18,18,18,18,18
Ability,GUTS,BATTLE_ARMOR,STURDY,VOLT_ABSORB,STEADFAST,PURE_POWER
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,FOCUS_ENERGY,FOCUS_ENERGY,LOW_SWEEP,CHARGE,FURY_CUTTER,ZEN_HEADBUTT
Move 2,REVENGE,HEADBUTT,KARATE_CHOP,SCRATCH,SAND_ATTACK,ICE_PUNCH
Move 3,CIRCLE_THROW,ROCK_SMASH,ROCK_SMASH,QUICK_ATTACK,ROCK_SMASH,DETECT
Move 4,MAT_BLOCK,TACKLE,FOCUS_ENERGY,ARM_THRUST,PECK,FORCE_PALM
Optional Move 1,BIND,PROTECT,LEER,GROWL,BRAVE_BIRD,FIRE_PUNCH
Optional Move 2,LEER,TOXIC,BIDE,THUNDER_SHOCK,POISON_JAB,THUNDER_PUNCH
Optional Move 3,BIDE,HIDDEN_POWER,DOUBLE_KICK,NUZZLE,LEER,BIDE
Optional Move 4,FOCUS_PUNCH,SUNNY_DAY,FOCUS_PUNCH,DIG,FURY_ATTACK,MEDITATE
Optional Move 5,TOXIC,HYPER_BEAM,TOXIC,FOCUS_PUNCH,AERIAL_ACE,CONFUSION
Optional Move 6,HIDDEN_POWER,RAIN_DANCE,HIDDEN_POWER,TOXIC,CUT,ENDURE
Optional Move 7,SUNNY_DAY,FRUSTRATION,SUNNY_DAY,HIDDEN_POWER,STEEL_WING,FEINT
Optional Move 8,TAUNT,RETURN,TAUNT,SUNNY_DAY,FORESIGHT,FOCUS_PUNCH
Optional Move 9,PROTECT,BRICK_BREAK,PROTECT,PROTECT,MIRROR_MOVE,TOXIC
Optional Move 10,FRUSTRATION,DOUBLE_TEAM,RAIN_DANCE,RAIN_DANCE,GUST,BULK_UP
Optional Move 11,EARTHQUAKE,ROCK_TOMB,FRUSTRATION,FRUSTRATION,QUICK_ATTACK,SUNNY_DAY
Optional Move 12,RETURN,FACADE,EARTHQUAKE,THUNDERBOLT,FLAIL,TAUNT
