Trainer 959,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MIMIKYU,AEGISLASH,CERULEDGE,BASCULEGION,DRAGAPULT,GENGAR
Level,75,75,75,75,75,75
Ability,DISGUISE,STANCE_CHANGE,FLASH_FIRE,SWIFT_SWIM,CLEAR_BODY,SHADOW_TAG
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,PLAY_ROUGH,IRON_HEAD,BITTER_BLADE,WAVE_CRASH,DRAGON_RUSH,SHADOW_BALL
Move 2,DOUBLE_TEAM,SACRED_SWORD,SHADOW_CLAW,THRASH,SUCKER_PUNCH,DREAM_EATER
Move 3,SHADOW_CLAW,HEAD_SMASH,LAVA_PLUME,SOAK,U_TURN,CONFUSE_RAY
Move 4,SLASH,SHADOW_SNEAK,SWORDS_DANCE,PHANTOM_FORCE,PHANTOM_FORCE,DARK_PULSE
Optional Move 1,WOOD_HAMMER,KINGS_SHIELD,ASTONISH,SHADOW_BALL,DRAGON_DARTS,SHADOW_PUNCH
Optional Move 2,SPLASH,AERIAL_ACE,EMBER,TAIL_WHIP,DRAGON_BREATH,PERISH_SONG
Optional Move 3,ASTONISH,METAL_SOUND,LEER,WATER_GUN,ASTONISH,REFLECT_TYPE
Optional Move 4,SCRATCH,SLASH,MYSTICAL_FIRE,TACKLE,INFESTATION,LICK
Optional Move 5,COPYCAT,NIGHT_SLASH,WIDE_GUARD,FLAIL,QUICK_ATTACK,HYPNOSIS
Optional Move 6,SHADOW_SNEAK,RETALIATE,CLEAR_SMOG,AQUA_JET,BITE,MEAN_LOOK
Optional Move 7,BABY_DOLL_EYES,IRON_DEFENSE,FIRE_SPIN,BITE,LOCK_ON,SPITE
Optional Move 8,MIMIC,POWER_TRICK,WILL_O_WISP,SCARY_FACE,ASSURANCE,CURSE
Optional Move 9,FEINT_ATTACK,SWORDS_DANCE,NIGHT_SHADE,HEADBUTT,HEX,PAYBACK
Optional Move 10,HONE_CLAWS,TACKLE,FLAME_CHARGE,CRUNCH,AGILITY,NIGHT_SHADE
Optional Move 11,CHARM,FURY_CUTTER,INCINERATE,TAKE_DOWN,DOUBLE_HIT,SUCKER_PUNCH
Optional Move 12,PAIN_SPLIT,AUTOTOMIZE,ALLY_SWITCH,UPROAR,DRAGON_DANCE,HEX
