Trainer 962,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,AEGISLASH,ARCHALUDON,CORVIKNIGHT,IRON_THORNS,MELMETAL,LUCARIO
Level,87,87,87,87,87,87
Ability,STANCE_CHANGE,STAMINA,PRESSURE,QUARK_DRIVE,IRON_FIST,ADAPTABILITY
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,IRON_HEAD,FLASH_CANNON,DRILL_PECK,STONE_EDGE,FLASH_CANNON,METEOR_MASH
Move 2,SACRED_SWORD,IRON_DEFENSE,IRON_DEFENSE,EARTHQUAKE,MEGA_PUNCH,DRAGON_PULSE
Move 3,HEAD_SMASH,DRAGON_CLAW,STEEL_WING,CHARGE,ACID_ARMOR,NASTY_PLOT
Move 4,SHADOW_SNEAK,BREAKING_SWIPE,PLUCK,WILD_CHARGE,DYNAMIC_PUNCH,CLOSE_COMBAT
Optional Move 1,KINGS_SHIELD,ELECTRO_SHOT,METAL_SOUND,ELECTRIC_TERRAIN,THUNDER_PUNCH,AURA_SPHERE
Optional Move 2,AERIAL_ACE,LEER,PECK,FIRE_FANG,THUNDER_SHOCK,LIFE_DEW
Optional Move 3,METAL_SOUND,METAL_CLAW,LEER,ICE_FANG,HARDEN,WORK_UP
Optional Move 4,SLASH,ROCK_SMASH,POWER_TRIP,IRON_DEFENSE,TAIL_WHIP,ROCK_SMASH
Optional Move 5,NIGHT_SLASH,HONE_CLAWS,HONE_CLAWS,ROCK_THROW,HEADBUTT,SCREECH
Optional Move 6,RETALIATE,METAL_SOUND,FURY_ATTACK,THUNDER_FANG,THUNDER_WAVE,FORCE_PALM
Optional Move 7,IRON_DEFENSE,DRAGON_TAIL,TAUNT,SCREECH,PROTECT,HELPING_HAND
Optional Move 8,POWER_TRICK,FOCUS_ENERGY,SCARY_FACE,ROCK_TOMB,DISCHARGE,COPYCAT
Optional Move 9,SWORDS_DANCE,METAL_BURST,SWAGGER,BITE,SUPERPOWER,FINAL_GAMBIT
Optional Move 10,TACKLE,HYPER_BEAM,BRAVE_BIRD,ROCK_SLIDE,TOXIC,REVERSAL
Optional Move 11,FURY_CUTTER,ROAR,TOXIC,SANDSTORM,HIDDEN_POWER,QUICK_ATTACK
Optional Move 12,AUTOTOMIZE,TOXIC,BULK_UP,PIN_MISSILE,ICE_BEAM,DETECT
