Trainer 966,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SANDY_SHOCKS,TOEDSCRUEL,GREAT_TUSK,RHYPERIOR,URSALUNA,GARCHOMP
Level,88,88,88,88,88,88
Ability,PROTOSYNTHESIS,MYCELIUM_MIGHT,PROTOSYNTHESIS,LIGHTNING_ROD,GUTS,PRESSURE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,EARTH_POWER,POWER_WHIP,EARTHQUAKE,EARTHQUAKE,THRASH,DRAGON_CLAW
Move 2,DISCHARGE,EARTH_POWER,MEGAHORN,MEGAHORN,PLAY_ROUGH,SAND_ATTACK
Move 3,ELECTRIC_TERRAIN,SPORE,BRICK_BREAK,SCARY_FACE,HAMMER_ARM,DRAGON_RUSH
Move 4,ZAP_CANNON,MUD_SHOT,HEAD_SMASH,ROCK_WRECKER,HEADLONG_RUSH,DIG
Optional Move 1,SUNNY_DAY,MUD_SLAP,DEFENSE_CURL,HAMMER_ARM,MOONLIGHT,CRUNCH
Optional Move 2,SUPERSONIC,REFLECT_TYPE,HORN_ATTACK,TACKLE,COVET,DUAL_CHOP
Optional Move 3,THUNDER_SHOCK,WRAP,ROLLOUT,TAIL_WHIP,FAKE_TEARS,SAND_TOMB
Optional Move 4,THUNDER_WAVE,ABSORB,SUNNY_DAY,SMACK_DOWN,LEER,TACKLE
Optional Move 5,SPARK,POISON_POWDER,BULLDOZE,BULLDOZE,LICK,DRAGON_BREATH
Optional Move 6,BULLDOZE,STUN_SPORE,TAUNT,HORN_DRILL,SCRATCH,FIRE_FANG
Optional Move 7,CHARGE_BEAM,SUPERSONIC,RAPID_SPIN,POISON_JAB,FURY_SWIPES,DRAGON_RAGE
Optional Move 8,TRI_ATTACK,TACKLE,STOMPING_TANTRUM,HORN_ATTACK,PAYBACK,SANDSTORM
Optional Move 9,SCREECH,MEGA_DRAIN,KNOCK_OFF,FURY_ATTACK,SWEET_SCENT,BULLDOZE
Optional Move 10,HEAVY_SLAM,SCREECH,GIGA_IMPACT,STOMP,SLASH,BITE
Optional Move 11,METAL_SOUND,HEX,CLOSE_COMBAT,CHIP_AWAY,PLAY_NICE,SLASH
Optional Move 12,MIRROR_COAT,SEED_BOMB,ENDEAVOR,ROCK_BLAST,SCARY_FACE,TAKE_DOWN
